grb_name,grb_trigger_id,episode,t_start_s,t_stop_s,n_events,n_events_high_prob,e_max_MeV,t_arr_s,ts,photon_index,photon_index_err,flux_0p1_100_GeV_ph_cm2_s,flux_err_0p1_100_GeV_ph_cm2_s
GRB080916C,GRB080916009,EX0,-0.128,4.864,13,13,301.204,3.0251,161.95934464582731,-2.880523566425496,0.4789208374264676,0.0006497921785841385,0.00018210397261738596
GRB080916C,GRB080916009,TR1,1.28,4.864,13,13,301.204,3.0251,170.56134320145964,-2.8850761279439916,0.4799546893110943,0.0009054440665061778,0.0002536785798589547
GRB080916C,GRB080916009,T90,1.28,64.256,254,237,27428.8,40.5025,2363.3301262720593,-2.2296630267449697,0.07417035986148272,0.0009106349506351619,6.182087560609291e-05
GRB080916C,GRB080916009,TR2,4.864,15.04,115,112,2110.1,6.85664,1172.9250035408893,-2.3814409189872596,0.12124051625782818,0.002647044929812244,0.0002528378923378977
GRB080916C,GRB080916009,TR3,15.04,55.296,118,104,27428.8,40.5025,1025.1828513999349,-2.0634777183224373,0.09801874387470674,0.0006298621352802353,6.481942420510697e-05
GRB080916C,GRB080916009,TR4,55.296,59.52,4,4,464.473,55.5751,44.205261024065095,-2.0240336569625845,0.49442595831740654,0.00021268745829095074,0.0001080017865430559
GRB080916C,GRB080916009,TR5,59.52,64.256,4,4,339.968,60.7477,17.142790288534407,-2.411414069507365,0.66870429219858,0.0001914590819375058,0.00010250194274729009
GRB080916C,GRB080916009,EX1,59.52,67.904,12,12,989.428,65.5212,114.58075910283044,-2.4243193208236984,0.3839978522954734,0.00033735035905318225,9.934987800129118e-05
GRB131014A,GRB131014215,EX0,-0.192,2.432,7,7,1232.92,1.98351,88.57109509579534,-2.2068033263312548,0.43200964619674154,0.003529019280495505,0.0014886677380366983
GRB131014A,GRB131014215,TR1,0.96,2.432,7,7,1232.92,1.98351,96.45879498331371,-2.206577838252569,0.42869685990379547,0.006274350643059222,0.0026162796593693274
GRB131014A,GRB131014215,T90,0.96,4.16,10,10,1232.92,1.98351,137.4644792056773,-1.9877256020584735,0.3090481092362799,0.0038387351468479607,0.001291838962242853
GRB131014A,GRB131014215,TR2,2.432,4.16,3,3,1021.24,3.18356,39.50745796239365,-1.6366123093703013,0.44401380886848113,0.0018790295719293142,0.0011254538615194537
GRB131014A,GRB131014215,EX1,2.432,6.976,5,5,1193.12,4.31365,55.91921670090935,-1.6766590282501301,0.35436026507495744,0.001204294764994528,0.0005618407495725277
GRB140206B,GRB140206275,EX0,4.288,11.072,6,6,225.299,7.55768,59.88195405852578,-4.740847169139746,1.4218095921449065,0.00022860163264518178,9.39333170435653e-05
GRB140206B,GRB140206275,TR1,7.488,11.072,6,6,225.299,7.55768,67.49771650164617,-4.723105025939629,1.4061340323069624,0.00043356381154569917,0.0001776564780044834
GRB140206B,GRB140206275,T90,7.488,154.24,32,30,753.113,23.998,218.4646201984084,-2.8336323656912437,0.31016432127270177,4.5439147093999676e-05,8.407529816597229e-06
GRB140206B,GRB140206275,TR2,11.072,20.032,4,4,117.703,17.935,46.92111220467817,-5.99998631903829,0.006866658013755815,0.00011994383900097239,5.957337482063203e-05
GRB140206B,GRB140206275,TR3,20.032,26.752,4,4,753.113,23.998,39.23605436574022,-2.3143648799529406,0.6165942050249946,0.00013184669783562628,6.705648375346394e-05
GRB140206B,GRB140206275,TR4,26.752,59.776,7,7,576.248,27.4984,56.01321776997783,-2.2069182456089913,0.43368494630844445,4.5698465864404096e-05,1.7772040030888847e-05
GRB140206B,GRB140206275,TR5,59.776,100.032,5,2,194.486,81.567,4.295968632373331,-3.023133304792245,1.0552069104452566,2.0356280933352898e-05,1.3198742994759923e-05
GRB140206B,GRB140206275,TR6,100.032,154.24,6,5,525.997,105.486,18.006490258604003,-2.4809618758836156,0.608755620801286,1.956757345458085e-05,8.730096114175857e-06
GRB231129C,GRB231129779,EX0,-0.192,3.136,3,2,122.941,0.683176,8.639900555652375,-5.9999310823264755,0.047953251643004305,0.00018070061930889884,0.00012786008426336575
GRB231129C,GRB231129779,TR1,0.384,3.136,3,2,122.941,0.683176,9.522424514836239,-5.999390315218873,0.16302821366253706,0.00022528990696468938,0.00015625386177559985
GRB231129C,GRB231129779,T90,0.384,7.296,11,11,722.523,3.84387,118.08401966579912,-2.4594511017640213,0.41061964397838735,0.00034990195228091933,0.00010732450311966063
GRB231129C,GRB231129779,TR2,3.136,7.296,8,8,722.523,3.84387,98.19438816204371,-2.166093406541753,0.39104793433600205,0.0004107121284538361,0.000147255605381497
GRB231129C,GRB231129779,EX1,3.136,10.048,10,10,722.523,3.84387,119.6148790788136,-2.1678212797166494,0.3502073787629675,0.00031389325333072823,0.00010067881568437528
