grb_name,ep_type,model_name,e_min_keV,e_max_keV,flux_ph_cm2_s,flux_err_lower_ph_cm2_s,flux_err_upper_ph_cm2_s,fluence_erg_cm2,fluence_err_lower_erg_cm2,fluence_err_upper_erg_cm2,n_samples,seed
GRB080916C,T90,SBPL_BB,7.999999999999999,40000.00000000001,6.629333256964178,0.05860795407834818,0.06489858530246284,0.00016642837070027585,5.682260232330413e-06,8.101906027876499e-06,10000,2285298891
GRB080916C,EX0,BAND_BB,7.999999999999999,40000.00000000001,13.455051263317443,0.24071025925482026,0.2887438907882114,3.692532309317811e-05,2.1776312212195634e-06,3.101137178788602e-06,10000,2285298891
GRB080916C,TR1,BAND_BB,7.999999999999999,40000.00000000001,15.141784766857153,0.2925236939513365,0.35204043456941037,3.165153291567012e-05,1.872010115517153e-06,2.6590181903710534e-06,10000,2285298891
GRB080916C,TR2,BAND,7.999999999999999,40000.00000000001,9.35870378192043,0.1371543856657631,0.15874602301034457,4.4444833226676834e-05,1.8448492675642033e-06,2.43581797691715e-06,10000,2285298891
GRB080916C,TR3,SBPL,7.999999999999999,40000.00000000001,5.742317421182079,0.06363159706500987,0.06409163013696162,7.73988235069133e-05,2.0399340994650125e-06,2.0836093334634063e-06,10000,2285298891
GRB080916C,TR4,SBPL,7.999999999999999,40000.00000000001,3.8804052547844887,0.20680229533576666,0.1779749675281832,4.378758316574566e-06,5.003823790542144e-07,4.1569758807008206e-07,10000,2285298891
GRB080916C,EX1,SBPL,7.999999999999999,40000.00000000001,2.9412062077343113,0.17426348406460868,0.13654750621860812,5.7806621406208335e-06,5.006355339603693e-07,4.474459982835658e-07,10000,2285298891
GRB080916C,TR5,SBPL,7.999999999999999,40000.00000000001,3.521735820999929,0.2307902371502779,0.18751226684244626,3.6102454348027687e-06,4.4930873234835585e-07,3.813852342790193e-07,10000,2285298891
GRB131014A,T90,BAND_BB,7.999999999999999,40000.00000000001,224.05750863452997,0.5868633661908973,0.6040589816147701,0.0002380623456517146,2.2774994771292177e-06,2.0784695253253606e-06,10000,2285298891
GRB131014A,EX0,BAND_BB,7.999999999999999,40000.00000000001,153.28845739437895,0.5196554172970593,0.5500413898839156,0.00016877209713853428,2.137108981232848e-06,1.9205693983687143e-06,10000,2285298891
GRB131014A,TR1,BAND_BB,7.999999999999999,40000.00000000001,254.36454444557347,0.9094523746691152,0.9264900785950658,0.00016044273445477988,1.8640534689135088e-06,1.7131411899039544e-06,10000,2285298891
GRB131014A,EX1,BAND_BB,7.999999999999999,40000.00000000001,92.90232063562883,0.3981219972626491,0.43207629972876305,8.628526493714224e-05,1.5244618678936835e-06,1.3701795417349496e-06,10000,2285298891
GRB131014A,TR2,SBPL_BB,7.999999999999999,40000.00000000001,200.90246688184905,0.7979534522458778,0.851708976636047,7.774478121920782e-05,1.1029878626932351e-06,1.0058179091122186e-06,10000,2285298891
GRB140206B,T90,BAND,7.999999999999999,40000.00000000001,6.329582653944278,0.034283846793627504,0.034523152872735885,0.00017378175357883586,3.4390023630939247e-06,3.5217549183311984e-06,10000,2285298891
GRB140206B,EX0,BAND_BB,7.999999999999999,40000.00000000001,9.89131246897681,0.16331023799926747,0.17055646784719514,5.040378484961626e-05,2.2714347179778144e-06,2.465261101809103e-06,10000,2285298891
GRB140206B,TR1,BAND_BB,7.999999999999999,40000.00000000001,15.102757156821664,0.24412181760070162,0.2653376506750842,3.674838509577459e-05,1.7324685579797792e-06,1.8693742425048636e-06,10000,2285298891
GRB140206B,TR2,BAND,7.999999999999999,40000.00000000001,29.17190450534843,0.18866705368266068,0.18181855838036753,8.018619939923566e-05,2.928800619657576e-06,2.58150943167086e-06,10000,2285298891
GRB140206B,TR3,BAND,7.999999999999999,40000.00000000001,15.49021919365684,0.21106114294933853,0.2159810871490091,1.485999185572246e-05,1.0041417562008016e-06,8.137248909279405e-07,10000,2285298891
GRB140206B,TR4,BAND,7.999999999999999,40000.00000000001,8.371711078334744,0.08246029872319482,0.0848470071729821,3.236173653956562e-05,1.2965781066936764e-06,1.1214345474517786e-06,10000,2285298891
GRB140206B,TR5,PL,7.999999999999999,40000.00000000001,1.7685094600019455,0.0639184265990349,0.06105769006366901,4.90270402174829e-06,4.787820818191572e-07,4.1052831761101044e-07,10000,2285298891
GRB140206B,TR6,CPL,7.999999999999999,40000.00000000001,3.2546093888369447,0.04854477248371669,0.04646486651989701,3.61717650768298e-05,1.9311587150300837e-06,1.933071873259043e-06,10000,2285298891
GRB231129C,T90,SBPL_BB,7.999999999999999,40000.00000000001,60.0645291217927,0.25064181790345685,0.25215183285144604,7.851762817030663e-05,7.983889196991274e-07,6.592817257566912e-07,10000,2285298891
GRB231129C,EX0,SBPL_BB,7.999999999999999,40000.00000000001,78.73700350786066,0.4043905882968488,0.4204034208767382,6.413221217045357e-05,9.902356468389584e-07,8.819151354545919e-07,10000,2285298891
GRB231129C,TR1,SBPL_BB,7.999999999999999,40000.00000000001,89.18631243878951,0.45660590065511997,0.48268956378902317,5.2953743782839165e-05,6.292704631062672e-07,5.620210835091441e-07,10000,2285298891
GRB231129C,EX1,SBPL,7.999999999999999,40000.00000000001,27.842930785605418,0.2009864683537188,0.19096088502066166,3.171276073976149e-05,5.378698147801372e-07,5.093771858688875e-07,10000,2285298891
GRB231129C,TR2,SBPL,7.999999999999999,40000.00000000001,41.100304115681524,0.27606865017241233,0.2681856949885031,2.9918663101997255e-05,4.842994063015746e-07,4.663139989600037e-07,10000,2285298891
