GRB,episode,H0,Om0,z,E_max_MeV,t_arr_s,t_v_s,t_v_source,model,beta,alpha_LS,f_1,tau_hat,Gamma_min,Gamma_min_err_lower,Gamma_min_err_upper,n_samples,seed,low_significance
GRB080916C,T90,69.6,0.286,4.35,27428.8,40.5025,62.976,duration,SBPL_BB,-2.2507238388061523,2.2507238388061523,0.34482973157563446,7104678210.584029,507.4799368913107,8.7608567070003,6.343331881400161,10000,12345,False
GRB080916C,EX0,69.6,0.286,4.35,301.204,3.0251,4.992,duration,BAND_BB,-2.5455613136291504,2.5455613136291504,1.2543819056896401,321598207411.40485,350.03757822964434,6.701231390389296,6.480811620785232,10000,12345,False
GRB080916C,TR1,69.6,0.286,4.35,301.204,3.0251,3.5839999999999996,duration,BAND_BB,-2.505154609680176,2.505154609680176,1.4866716191844411,530553080146.90753,380.2695060747507,7.864422092240943,7.610696038154742,10000,12345,False
GRB080916C,TR2,69.6,0.286,4.35,2110.1,6.85664,10.175999999999998,duration,BAND,-2.1220569610595703,2.1220569610595703,0.5488059615833194,71546180457.42033,446.58792428965614,6.131350029552891,4.115283743435668,10000,12345,False
GRB080916C,TR3,69.6,0.286,4.35,27428.8,40.5025,40.256,duration,SBPL,-2.2155921459198,2.2155921459198,0.22342943730675655,7236930932.707629,503.9961180207492,4.073504322590054,3.823709375601368,10000,12345,False
GRB080916C,TR4,69.6,0.286,4.35,464.473,55.5751,4.224000000000004,duration,SBPL,-2.2065937519073486,2.2065937519073486,0.10576581455253233,32694080989.34669,295.2592973249636,8.409869170982176,8.806286736883294,10000,12345,False
GRB080916C,EX1,69.6,0.286,4.35,989.428,65.5212,8.383999999999993,duration,SBPL,-2.115032911300659,2.115032911300659,0.06671250805356412,10572553273.8255,287.08094629154874,5.364879167613026,5.095521559147073,10000,12345,False
GRB080916C,TR5,69.6,0.286,4.35,339.968,60.7477,4.735999999999997,duration,SBPL,-2.2107582092285156,2.2107582092285156,0.07637245992211185,21042179895.337433,259.72153819068075,8.290105005940433,8.471426890313921,10000,12345,True
GRB131014A,T90,69.6,0.286,,1232.92,1.98351,3.2,duration,BAND_BB,-2.9043118953704834,,,,,,,10000,12345,False
GRB131014A,EX0,69.6,0.286,,1232.92,1.98351,2.624,duration,BAND_BB,-2.9424140453338623,,,,,,,10000,12345,False
GRB131014A,TR1,69.6,0.286,,1232.92,1.98351,1.472,duration,BAND_BB,-2.9510128498077393,,,,,,,10000,12345,False
GRB131014A,EX1,69.6,0.286,,1193.12,4.31365,4.5440000000000005,duration,BAND_BB,-2.801438093185425,,,,,,,10000,12345,False
GRB131014A,TR2,69.6,0.286,,1021.24,3.18356,1.7280000000000002,duration,SBPL_BB,-3.1090714931488037,,,,,,,10000,12345,False
GRB140206B,T90,69.6,0.286,,753.113,23.998,146.752,duration,BAND,-2.602043390274048,,,,,,,10000,12345,False
GRB140206B,EX0,69.6,0.286,,225.299,7.55768,6.783999999999999,duration,BAND_BB,-2.889127016067505,,,,,,,10000,12345,False
GRB140206B,TR1,69.6,0.286,,225.299,7.55768,3.5839999999999987,duration,BAND_BB,-2.7704033851623535,,,,,,,10000,12345,False
GRB140206B,TR2,69.6,0.286,,117.703,17.935,8.96,duration,BAND,-2.3522984981536865,,,,,,,10000,12345,False
GRB140206B,TR3,69.6,0.286,,753.113,23.998,6.719999999999999,duration,BAND,-2.2791590690612793,,,,,,,10000,12345,False
GRB140206B,TR4,69.6,0.286,,576.248,27.4984,33.024,duration,BAND,-2.4182512760162354,,,,,,,10000,12345,False
GRB140206B,TR5,69.6,0.286,,194.486,81.567,40.25599999999999,duration,PL,-2.162787437438965,,,,,,,10000,12345,True
GRB140206B,TR6,69.6,0.286,,525.997,105.486,54.20800000000001,duration,CPL,,,,,,,,10000,12345,True
GRB231129C,T90,69.6,0.286,,722.523,3.84387,6.912,duration,SBPL_BB,-4.4376068115234375,,,,,,,10000,12345,False
GRB231129C,EX0,69.6,0.286,,122.941,0.683176,3.3280000000000003,duration,SBPL_BB,-3.4841866493225098,,,,,,,10000,12345,True
GRB231129C,TR1,69.6,0.286,,122.941,0.683176,2.7520000000000002,duration,SBPL_BB,-4.197329998016357,,,,,,,10000,12345,True
GRB231129C,EX1,69.6,0.286,,722.523,3.84387,6.912,duration,SBPL,-2.8169407844543457,,,,,,,10000,12345,False
GRB231129C,TR2,69.6,0.286,,722.523,3.84387,4.16,duration,SBPL,-2.8628990650177,,,,,,,10000,12345,False
