GRB,episode,H0,Om0,z,t_v_s,t_v_source,model,beta,alpha_LS,f_1,tau_hat,Gamma_min_B,Gamma_min_B_err_lower,Gamma_min_B_err_upper,n_samples,seed
GRB080916C,T90,69.6,0.286,4.35,62.976,duration,SBPL_BB,-2.2507238388061523,2.2507238388061523,0.34482973157563446,7104678210.584029,112.12953857730314,1.0957606792919137,0.955529930986657,10000,4169226666
GRB080916C,EX0,69.6,0.286,4.35,4.992,duration,BAND_BB,-2.5455613136291504,2.5455613136291504,1.2543819056896401,321598207411.40485,189.68952345250813,8.156016745329254,8.449323709622888,10000,4169226666
GRB080916C,TR1,69.6,0.286,4.35,3.5839999999999996,duration,BAND_BB,-2.505154609680176,2.505154609680176,1.4866716191844411,530553080146.90753,213.26067317235578,9.608619027603112,9.679326160431174,10000,4169226666
GRB080916C,TR2,69.6,0.286,4.35,10.175999999999998,duration,BAND,-2.1220569610595703,2.1220569610595703,0.5488059615833194,71546180457.42033,189.99446022748668,2.681417290594567,2.5365033573324354,10000,4169226666
GRB080916C,TR3,69.6,0.286,4.35,40.256,duration,SBPL,-2.2155921459198,2.2155921459198,0.22342943730675655,7236930932.707629,114.85671869308467,1.2675555216763144,1.3402441326212369,10000,4169226666
GRB080916C,TR4,69.6,0.286,4.35,4.224000000000004,duration,SBPL,-2.2065937519073486,2.2065937519073486,0.10576581455253233,32694080989.34669,154.25659969220087,9.377192987402424,10.23001934974431,10000,4169226666
GRB080916C,EX1,69.6,0.286,4.35,8.383999999999993,duration,SBPL,-2.115032911300659,2.115032911300659,0.06671250805356412,10572553273.8255,131.37831117228356,4.813017758506007,4.632129269690978,10000,4169226666
GRB080916C,TR5,69.6,0.286,4.35,4.735999999999997,duration,SBPL,-2.2107582092285156,2.2107582092285156,0.07637245992211185,21042179895.337433,141.367458433978,9.011643474233182,9.449231462844267,10000,4169226666
GRB131014A,T90,69.6,0.286,,3.2,duration,BAND_BB,-2.9043118953704834,,,,,,,10000,4169226666
GRB131014A,EX0,69.6,0.286,,2.624,duration,BAND_BB,-2.9424140453338623,,,,,,,10000,4169226666
GRB131014A,TR1,69.6,0.286,,1.472,duration,BAND_BB,-2.9510128498077393,,,,,,,10000,4169226666
GRB131014A,EX1,69.6,0.286,,4.5440000000000005,duration,BAND_BB,-2.801438093185425,,,,,,,10000,4169226666
GRB131014A,TR2,69.6,0.286,,1.7280000000000002,duration,SBPL_BB,-3.1090714931488037,,,,,,,10000,4169226666
GRB140206B,T90,69.6,0.286,,146.752,duration,BAND,-2.602043390274048,,,,,,,10000,4169226666
GRB140206B,EX0,69.6,0.286,,6.783999999999999,duration,BAND_BB,-2.889127016067505,,,,,,,10000,4169226666
GRB140206B,TR1,69.6,0.286,,3.5839999999999987,duration,BAND_BB,-2.7704033851623535,,,,,,,10000,4169226666
GRB140206B,TR2,69.6,0.286,,8.96,duration,BAND,-2.3522984981536865,,,,,,,10000,4169226666
GRB140206B,TR3,69.6,0.286,,6.719999999999999,duration,BAND,-2.2791590690612793,,,,,,,10000,4169226666
GRB140206B,TR4,69.6,0.286,,33.024,duration,BAND,-2.4182512760162354,,,,,,,10000,4169226666
GRB140206B,TR5,69.6,0.286,,40.25599999999999,duration,PL,-2.162787437438965,,,,,,,10000,4169226666
GRB140206B,TR6,69.6,0.286,,54.20800000000001,duration,CPL,,,,,,,,10000,4169226666
GRB231129C,T90,69.6,0.286,,6.912,duration,SBPL_BB,-4.4376068115234375,,,,,,,10000,4169226666
GRB231129C,EX0,69.6,0.286,,3.3280000000000003,duration,SBPL_BB,-3.4841866493225098,,,,,,,10000,4169226666
GRB231129C,TR1,69.6,0.286,,2.7520000000000002,duration,SBPL_BB,-4.197329998016357,,,,,,,10000,4169226666
GRB231129C,EX1,69.6,0.286,,6.912,duration,SBPL,-2.8169407844543457,,,,,,,10000,4169226666
GRB231129C,TR2,69.6,0.286,,4.16,duration,SBPL,-2.8628990650177,,,,,,,10000,4169226666
