grb_name,episode,model_name,beta_index,beta_index_err
GRB080916C,T90,SBPL_BB,-2.2507238388061523,0.022857533767819405
GRB080916C,EX0,BAND_BB,-2.5455613136291504,0.07711020112037659
GRB080916C,TR1,BAND_BB,-2.505154609680176,0.07618629187345505
GRB080916C,TR2,BAND,-2.1220569610595703,0.024411967024207115
GRB080916C,TR3,SBPL,-2.2155921459198,0.016537779942154884
GRB080916C,TR4,SBPL,-2.2065937519073486,0.07541552931070328
GRB080916C,EX1,SBPL,-2.115032911300659,0.04919551685452461
GRB080916C,TR5,SBPL,-2.2107582092285156,0.08446147292852402
GRB131014A,T90,BAND_BB,-2.9043118953704834,0.03473619744181633
GRB131014A,EX0,BAND_BB,-2.9424140453338623,0.045011214911937714
GRB131014A,TR1,BAND_BB,-2.9510128498077393,0.042112234979867935
GRB131014A,EX1,BAND_BB,-2.801438093185425,0.05400580167770386
GRB131014A,TR2,SBPL_BB,-3.1090714931488037,0.07555945962667465
GRB140206B,T90,BAND,-2.602043390274048,0.03659576550126076
GRB140206B,EX0,BAND_BB,-2.889127016067505,0.12734921276569366
GRB140206B,TR1,BAND_BB,-2.7704033851623535,0.12177715450525284
GRB140206B,TR2,BAND,-2.3522984981536865,0.04495248571038246
GRB140206B,TR3,BAND,-2.2791590690612793,0.06387196481227875
GRB140206B,TR4,BAND,-2.4182512760162354,0.05369797721505165
GRB140206B,TR5,PL,,
GRB140206B,TR6,CPL,,
GRB231129C,T90,SBPL_BB,-4.4376068115234375,0.27486154437065125
GRB231129C,EX0,SBPL_BB,-3.4841866493225098,0.14398731291294098
GRB231129C,TR1,SBPL_BB,-4.197329998016357,0.2524411678314209
GRB231129C,EX1,SBPL,-2.8169407844543457,0.03958214074373245
GRB231129C,TR2,SBPL,-2.8628990650177,0.040492646396160126
