grb_name,episode,model_name,e_peak_keV,e_peak_err_lower_keV,e_peak_err_upper_keV,n_samples,seed
GRB080916C,T90,SBPL_BB,1005.5136455654302,163.4929520732319,153.25930627133528,10000.0,42.0
GRB080916C,EX0,BAND_BB,1308.572998046875,247.81393432617188,247.81393432617188,,
GRB080916C,TR1,BAND_BB,1330.5928955078125,250.35162353515625,250.35162353515625,,
GRB080916C,TR2,BAND,885.8650512695312,129.31996154785156,129.31996154785156,,
GRB080916C,TR3,SBPL,420.9635117482009,22.075770818292085,21.433330739703763,10000.0,42.0
GRB080916C,TR4,SBPL,237.66860976060622,38.56368457994486,39.809401743999615,10000.0,42.0
GRB080916C,EX1,SBPL,268.24773831485953,64.61093091051615,61.69683400096733,10000.0,42.0
GRB080916C,TR5,SBPL,256.8895198586001,70.21614319114525,63.93594193192564,10000.0,42.0
GRB131014A,T90,BAND_BB,443.6439208984375,7.615445613861084,7.615445613861084,,
GRB131014A,EX0,BAND_BB,520.955322265625,11.343509674072266,11.343509674072266,,
GRB131014A,TR1,BAND_BB,528.470947265625,11.600377082824707,11.600377082824707,,
GRB131014A,EX1,BAND_BB,271.12286376953125,9.902332305908203,9.902332305908203,,
GRB131014A,TR2,SBPL_BB,287.1145476796564,10.682380518956734,10.43015643698459,10000.0,42.0
GRB140206B,T90,BAND,515.2568969726562,24.988481521606445,24.988481521606445,,
GRB140206B,EX0,BAND_BB,2391.221923828125,248.25962829589844,248.25962829589844,,
GRB140206B,TR1,BAND_BB,2173.46484375,256.0892639160156,256.0892639160156,,
GRB140206B,TR2,BAND,352.2890625,9.504931449890137,9.504931449890137,,
GRB140206B,TR3,BAND,171.1937255859375,14.600811958312988,14.600811958312988,,
GRB140206B,TR4,BAND,153.0603485107422,8.575627326965332,8.575627326965332,,
GRB140206B,TR5,PL,,,,,
GRB140206B,TR6,CPL,6969.58056640625,1198.9541015625,1198.9541015625,,
GRB231129C,T90,SBPL_BB,289.4980997232886,9.549083991858197,9.406530519133526,10000.0,42.0
GRB231129C,EX0,SBPL_BB,324.55876426390716,13.29782214391713,12.536194152447308,10000.0,42.0
GRB231129C,TR1,SBPL_BB,304.1813730147021,12.187661431404365,11.479093356106887,10000.0,42.0
GRB231129C,EX1,SBPL,153.60732967050646,2.1041495603329565,2.0869778631473253,10000.0,42.0
GRB231129C,TR2,SBPL,157.36215641035704,1.9763091641041513,1.9610948212299775,10000.0,42.0
