t,y_data,y_fit,residual,sigma
0.96,21836.008299999998,14956.978839035955,6879.029460964042,630.3013990176703
1.024,24171.496499999987,23426.979853466823,744.516646533164,659.8505044889299
1.088,29999.5585,31832.465983583075,-1832.907483583076,729.0769579709175
1.152,34583.820100000004,39641.70820157651,-5057.888101576507,779.5068745139646
1.216,45615.153300000005,46615.009361181365,-999.8560611813591,891.0518997719308
1.28,45110.509099999996,52679.71171902431,-7569.202619024312,885.9769655004933
1.344,33618.924699999996,57851.4580903819,-24232.533390381905,769.1445338286592
1.408,45457.83970000001,62188.84778155402,-16731.008081554006,889.5101448611572
1.472,79670.8021,65768.40938940542,13902.392710594577,1179.950587390259
1.536,95563.88009999998,68671.2280434205,26892.652056579478,1296.9077062245105
1.6,114301.03049999996,70976.09594741298,43324.93455258699,1425.5389762463103
1.664,117077.21960000001,72756.26331410611,44320.9562858939,1445.0478609040376
1.728,127340.42109999999,74078.14785490808,53262.273245091914,1511.204544050457
1.792,130030.37509999998,75001.0851931612,55029.28990683878,1527.2780467375474
1.856,112574.04009999997,75577.6090274393,36996.43107256066,1412.3928848976327
1.92,97834.21990000001,75853.97802821305,21980.24187178696,1311.64865766519
1.984,102060.23699999998,75870.7948143518,26189.44218564818,1341.2263639452806
2.048,96334.6559,75663.63467683339,20671.02122316661,1300.7568527801536
2.112,95248.32999999997,75263.64239420321,19984.68760579676,1293.1950669703128
2.176,94420.32830000002,74698.07819904963,19722.25010095039,1287.101697876203
2.24,72648.39480000002,73990.80643528025,-1342.411635280223,1123.8495221183284
2.304,46591.0885,73162.72709068983,-26571.638590689836,900.0447701155275
2.368,28754.1524,72232.15371807163,-43478.00131807163,714.7339745958815
2.432,27152.434700000005,71215.14272162874,-44062.708021628736,696.0021551124099
2.496,49373.45460000003,70125.77942081007,-20752.32482081004,925.71207514233
2.56,78458.39189999997,68976.42619341773,9481.96570658224,1169.4409421776352
2.624,91272.36359999998,67777.93762031071,23494.425979689273,1264.4123300979888
2.688,75425.12169999999,66539.84706150868,8885.274638491304,1145.660241637429
2.752,69880.34000000001,65270.5285741367,4609.811425863314,1101.5984971133676
2.816,70025.55919999997,63977.33758186329,6048.221618136682,1102.6653557369625
2.88,64478.04870000002,62666.73324521323,1811.315454786789,1057.5870176979602
2.944,74271.13110000003,61344.38507101662,12926.746028983405,1136.5864564840401
3.008,62898.72130000004,60015.265938611694,2883.4553613883472,1044.303574332662
3.072,59062.49040000001,58683.73340774427,378.7569922557377,1012.0003817024876
3.136,55117.597700000035,57353.600904117484,-2236.003204117449,977.6314183488186
3.2,55418.106100000026,56028.20014829723,-610.0940482972001,980.327472396521
3.264,55404.15229999996,54710.43599722299,693.7163027769711,980.372447744511
3.328,65587.92150000001,53402.834700259824,12185.086799740187,1067.0064106816926
3.392,50994.776999999995,52107.586429358744,-1112.8094293587492,940.7829315342435
3.456,64778.488300000026,50826.58282177562,13951.905478224406,1060.200555950234
3.52,85412.4089,49561.45017072211,35850.95872927788,1221.2457709059197
3.584,74734.19429999999,48313.57881153544,26420.61548846455,1140.1881444839948
3.648,61789.47369999999,47084.149176111605,14705.324523888383,1035.1992752404738
3.712,55290.23399999999,45874.15492445792,9416.079075542068,979.2780843298774
3.776,52381.56909999997,44684.42350760629,7697.145592393681,953.2893266714526
3.84,53587.56319999998,43515.634469367455,10071.928730632528,964.2376156258489
3.904,45643.58880000001,42368.33575430554,3275.2530456944733,890.9237815976437
3.968,34797.0933,41242.958254861835,-6445.864954861834,781.8471969236205
4.032,38476.552699999986,40139.82880091075,-1663.2761009107635,820.0573619112081
4.096,33234.56389999999,39059.18176947236,-5824.617869472371,764.8921218638652
4.16,25261.011700000025,38001.169470232955,-12740.15777023293,673.246378434848
