t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5
-0.448,-105.56979999999976,213.7440825708058,1.8533489423834617e-40,0.0,0.0,1.8533489423834617e-40,0.0,3.612114757113869e-147
-0.384,68.47009999999909,220.0837225968317,5.009352636770318e-35,0.0,0.0,5.009352636770318e-35,0.0,6.250200367928798e-109
-0.32,-9.831000000000131,217.2755910309117,1.0932135462086525e-10,1.0932135462086525e-10,1.4741608076754523e-224,2.331824147583312e-30,0.0,6.696298701081242e-85
-0.256,68.37700000000177,220.06801487254623,0.46013331129511126,0.46013331129511126,8.630855062578525e-161,2.5736909371378727e-26,0.0,2.016428712380066e-68
-0.192,-88.88979999999992,214.3677036767522,65.04174256348449,65.04174256348449,7.034536818945448e-120,8.619640549382728e-23,0.0,1.9597632538194297e-56
-0.128,587.9001999999987,237.9152943114828,547.7668059042524,547.7668059042524,1.2610929269351361e-91,1.0628277584149223e-19,0.0,2.4666289287921533e-47
-0.064,2179.3159,285.789836066906,1737.9038138296228,1737.9038138296228,4.10439122572577e-71,5.626338023600032e-17,0.0,3.354325230337178e-40
0.0,3413.2531000000004,318.1076008134144,3508.298650264028,3508.298650264028,1.114073961775399e-55,1.4471210558823193e-14,0.0,1.8187627850942392e-34
0.064,5742.935900000001,371.63353137385826,5536.358813441516,5536.358813441514,9.305666076841258e-44,2.000014839339924e-12,0.0,9.17836618080364e-30
0.128,6695.397899999998,391.44131215823523,7528.1736160393675,7528.1736160392065,2.297376856710158e-34,1.6135067310336414e-10,0.0,7.655838598840499e-26
0.192,8673.7031,429.86436110574124,9291.391030958694,9291.391030950555,7.440950387034376e-27,8.138750466261605e-09,0.0,1.5792131337794816e-22
0.256,10925.178899999999,469.81958515516703,10729.072078157244,10729.072077885372,8.784326344327372e-21,2.7187122306655805e-07,0.0,1.0776943590543896e-19
0.32,12594.237799999999,497.5060929936966,11812.045778842274,11812.045772529207,7.796444563502781e-16,6.313067017625603e-06,0.0,3.018021821236205e-17
0.384,13350.116899999994,509.5675076512027,12552.590623785578,12552.590517600123,8.814445483836416e-12,0.0001061854455473712,0.0,4.081966743959176e-15
0.448,12995.35070000001,503.92320582281116,12985.129484519084,12985.128144474664,1.880823020073078e-08,0.001340025611573808,0.0,3.022901945579013e-13
0.512,12528.7464,496.4162541527071,13153.651020611236,13153.637933125305,1.0215506457882276e-05,0.01307727041220672,0.0,1.3521666843436445e-11
0.576,12145.034400000008,490.1991593621507,13104.179239644174,13104.076154685865,0.0017803980568005572,0.10130455985663653,0.0,3.949487959043829e-10
0.64,13994.6102,519.6524347989296,12880.909660179132,12880.152948314691,0.11945843203163947,0.6372534243892861,0.0,8.019951212987271e-09
0.704,13913.789400000005,518.3846641870953,12528.11756040963,12521.22933887566,3.5679182474551405,3.3203031673742944,0.0,1.1913863323268389e-07
0.768,11748.077400000006,483.7154562630097,12129.40648996088,12061.492800924696,53.33303122743303,14.580656458664231,0.0,1.3500873047249206e-06
0.832,10667.764599999999,465.3680762418568,12023.677082101272,11529.867850281309,439.01180804803874,54.797411689034696,0.0,1.2082889959252393e-05
0.896,12786.638799999995,500.57325264478135,13282.06266158049,10950.322358425346,2153.0891557584764,178.65105947812674,0.0,8.791854090322697e-05
0.96,21836.008299999998,630.3013990176703,17571.006290920166,10342.36366518643,6717.277863693759,511.3642290640443,0.0,0.0005329759293161541
1.024,24171.496499999987,659.8505044889299,25103.9471227949,9721.603251931967,14083.430432818004,1298.9106897676006,0.0,0.002748277328622296
1.088,29999.5585,729.0769579709175,32840.78470669522,9100.321443203244,20784.467374606113,2955.983619219091,0.0,0.012269666777767772
1.152,34583.820100000004,779.5068745139646,37026.473500150496,8487.995832835895,22459.64074628039,6078.788766832789,0.0,0.04815420142566662
1.216,45615.153300000005,891.0518997719308,37655.32259774552,7891.776454482079,18380.12522784293,11383.252579989927,0.0,0.16833543058961847
1.28,45110.509099999996,885.9769655004933,38590.54231224832,7316.902004540117,11726.928109607443,19546.18202681072,0.0,0.5301712900425268
1.344,33618.924699999996,769.1445338286592,43719.11333582435,6767.057764215865,5981.661198121771,30968.874932346724,0.0,1.519441139991981
1.408,45457.83970000001,889.5101448611572,54274.44087405158,6244.679196113646,2493.1711727959555,45532.59315669244,0.0,3.9973484495351572
1.472,79670.8021,1179.950587390259,69070.57496903389,5751.206719666001,865.5046124859963,62444.13572185431,0.0,9.72791502757206
1.536,95563.88009999998,1296.9077062245105,85818.60021944981,5287.297649182017,254.48024926374836,80254.77386898965,0.0,22.048452014400432
1.6,114301.03049999996,1425.5389762463103,102041.63242251019,4853.001169779474,64.31659397274967,97077.49108672474,0.0,46.823572033236275
1.664,117077.21960000001,1445.0478609040376,115507.26548763167,4447.901810647717,14.15643542309993,110951.53541403056,0.0,93.67182753029476
1.728,127340.42109999999,1511.204544050457,124497.4055160533,4071.236319927378,2.745292524270572,120246.04898813725,0.0,177.37491546440484
1.792,130030.37509999998,1527.2780467375474,128023.67154115225,3721.9882490047967,0.47393624732198636,123981.92460177567,0.0,319.2847541244576
1.856,112574.04009999997,1412.3928848976327,125932.93297965301,3398.9639711166133,0.07351300229109894,121985.43958291812,0.0,548.4559126159837
1.92,97834.21990000001,1311.64865766519,118852.18732362994,3100.8533184803337,0.010330534856599302,114849.14655963263,0.0,902.1771149821224
1.984,102060.23699999998,1341.2263639452806,107988.4497281092,2826.2775365849943,0.0013250573913256582,103736.59075249864,0.0,1425.5801139681926
2.048,96334.6559,1300.7568527801536,94849.1308968803,2573.826827452198,0.00015617822982519922,90105.22368018095,0.0,2170.0802330689385
2.112,95248.32999999997,1293.1950669703128,80960.91317675648,2342.089384102068,1.7018485723749787e-05,75428.2770061575,0.0,3190.54676947843
2.176,94420.32830000002,1287.101697876203,67648.11963567563,2129.6735019267558,1.7239687721365063e-06,60977.15385083605,0.0,4541.292281188853
2.24,72648.39480000002,1123.8495221183284,55900.84030144495,1935.2240837755326,1.631625271326745e-07,47694.442770092886,0.0,6271.173447413373
2.304,46591.0885,900.0447701155275,46333.094168126045,1757.434628546901,1.4493524316344271e-08,36157.38613177361,0.0,8418.273407791046
2.368,28754.1524,714.7339745958815,39210.91188402564,1595.0556023779266,1.213380253346663e-09,26611.105260097822,3.181443275480754e-308,11004.751021548682
2.432,27152.434700000005,696.0021551124099,34939.38508241314,1446.8999319463194,9.610396132361215e-11,19042.547486276042,417.4645910530872,14032.47307313759
2.496,49373.45460000003,925.71207514233,49796.8501963656,1311.8462263109018,7.226379022989447e-12,13267.79343115381,17737.226140960265,17479.98439794062
2.56,78458.39189999997,1169.4409421776352,75402.8406621369,1188.8402230244387,5.175170172558971e-13,9012.77376031715,43899.998064348554,21301.228614446773
2.624,91272.36359999998,1264.4123300979888,85517.78313264158,1076.8948624154445,3.540222738060045e-14,5976.42642180073,53038.22896920647,25426.23287921893
2.688,75425.12169999999,1145.660241637429,82660.64212469378,975.0893179115325,2.319612521289783e-15,3873.0300737554703,48048.776571370625,29763.74616165615
2.752,69880.34000000001,1101.5984971133676,75225.83803692236,882.567247476672,1.4593687666323557e-16,2455.5993966004366,37682.06566954158,34205.60572330368
2.816,70025.55919999997,1102.6653557369625,68166.83060689016,798.5344794661244,8.836552372933731e-18,1524.7669760322528,27211.099207231237,38632.42994416054
2.88,64478.04870000002,1057.5870176979602,63231.56689955358,722.2563036183248,5.16056932994213e-19,928.1191066740757,18661.07382493383,42920.11766432735
2.944,74271.13110000003,1136.5864564840401,60518.254946657165,653.0545029508878,2.9125285487260473e-20,554.304282101151,12364.31193962837,46946.58422197676
3.008,62898.72130000004,1044.303574332662,59510.58884083767,590.304233708655,1.5914743479023354e-21,325.0902432383417,7997.013271830068,50598.18109206061
3.072,59062.49040000001,1012.0003817024876,59578.471011740956,533.4308371391201,8.433904696471976e-23,187.3770049542585,5082.343764859959,53775.31940478762
3.136,55117.597700000035,977.6314183488186,60172.793800393236,481.90664783866015,4.341587710698548e-24,106.22112525055728,3187.7342780775803,56396.93174922644
3.2,55418.106100000026,980.327472396521,60877.30425642205,435.24784796697645,2.1742199548115993e-25,59.26453345580731,1979.2488104983092,58403.54306450096
3.264,55404.15229999996,980.372447744511,61403.59942305206,393.01140413913146,1.0607044830132748e-26,32.56552982740953,1219.1604891161946,59758.861999969326
3.328,65587.92150000001,1067.0064106816926,61568.559409370115,354.7921137527777,5.047575114756204e-28,17.634968031499522,746.1988517757612,60449.933475810074
3.392,50994.776999999995,940.7829315342435,61269.99632492752,320.21977945940137,2.345814586276323e-29,9.416803126063616,454.3597646927052,60485.99997764935
3.456,64778.488300000026,1060.200555950234,60465.696458645885,288.9565240833926,1.0659053526764651e-30,4.96123409371591,275.48201102345627,59896.29668944532
3.52,85412.4089,1221.2457709059197,59156.76061887724,260.6942532338679,4.7404370066417563e-32,2.5802720924274936,166.43442418923314,58727.05166936171
3.584,74734.19429999999,1140.1881444839948,57374.70810615098,235.15226889491476,2.065499657165855e-33,1.325411861506618,100.25202551195011,57037.97839988261
3.648,61789.47369999999,1035.1992752404738,55171.51971032573,212.07503421660533,8.825611656002317e-35,0.672751094837223,60.23350129149041,54898.5384237228
3.712,55290.23399999999,979.2780843298774,52611.90064050534,191.23008739338377,3.701340444025444e-36,0.3375780540344245,36.11069021507882,52384.22228484284
3.776,52381.56909999997,953.2893266714526,49767.23580919817,172.4061007694041,1.5248489997164528e-37,0.16753219781613646,21.6080363017411,49573.05413992921
3.84,53587.56319999998,964.2376156258489,46710.87757881717,155.41108003769025,6.175702825505332e-39,0.08226315609574436,12.908723677075582,46542.47551194631
3.904,45643.58880000001,890.9237815976437,43514.52361627291,140.0706975074659,2.4606873717561713e-40,0.039982080770895205,7.700673217755473,43366.71226346692
3.968,34797.0933,781.8471969236205,40245.51439974912,126.2267528243931,9.652453540544794e-42,0.019241550393535117,4.58802893235737,40114.680376441975
4.032,38476.552699999986,820.0573619112081,36964.91906796001,113.73575417839213,3.730045973885969e-43,0.009172407388524947,2.730479118070853,36848.443662256155
4.096,33234.56389999999,764.8921218638652,33726.297294345204,102.46761287142175,1.420869437190919e-44,0.004332533011397633,1.6233817721275596,33622.20196716864
4.16,25261.011700000025,673.246378434848,30575.033341010327,92.30444410082147,5.338404317485251e-46,0.0020284088908297465,0.9643123164814987,30481.762556184134
4.224,20874.997399999986,617.6612395138477,27548.142806497966,83.13946690821682,1.9793666548978326e-47,0.0009415807122745507,0.5723606798946201,27464.430037329144
4.288,18462.638699999992,584.9863815789873,24674.456573098574,74.8759964217468,7.246462324507687e-49,0.0004334861965944998,0.3394778007544461,24599.240665389876
4.352,18156.23160000001,580.7424103923934,21975.09190512298,67.42652175804432,2.6207553109013615e-50,0.0001979840298996467,0.201220635674353,21907.46396474523
4.416,17301.712000000007,568.7616049322767,19464.128109638783,60.711863231970504,9.36768124271006e-52,8.973012686807598e-05,0.11920088595668787,19403.296955790727
4.48,13425.080599999994,510.7645980870775,17149.41346136833,54.66040283220456,3.3108315249258893e-53,4.0365522245273066e-05,0.07057572982658253,17094.68244244078
4.544,11254.500799999996,475.3790382332041,15033.440655520755,49.20738224802693,1.1575128443593969e-54,1.8028231634397777e-05,0.041765778597866336,14984.191489465898
4.608,9605.909300000003,446.76459144749344,13114.239201748753,44.29426306807474,4.0047332159354383e-56,7.995901644320638e-06,0.024705471593094264,13069.920225213184
4.672,9043.662799999998,436.53951506007286,11386.244251015649,39.86814410854308,1.3716619461504368e-57,3.5224973552156842e-06,0.014607944998344084,11346.36149543961
4.736,9471.799500000001,444.24494195973347,9841.1118065653,35.88123116093998,4.652698972411541e-59,1.541685800966086e-06,0.008634214332168625,9805.221939648343
4.8,8695.520500000011,430.17765805792345,8468.459707301576,32.29035477407478,1.563501274194198e-60,6.704898113670934e-07,0.005101607661998259,8436.164250249349
4.864,8455.224900000005,425.67905040412876,7256.521933096594,29.056531998541324,5.206799669875509e-62,2.8981780322475687e-07,0.003013375910938047,7227.462387432323
4.928,9285.910199999997,440.9853450602233,6192.710548250905,26.144568322460607,1.7189373593207702e-63,1.2453070681371468e-07,0.0017793932470020618,6166.564200410667
