t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6,y_pulse7
-1.024,-105.95569999999952,213.76547259492634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.96,-435.80030000000033,201.27560797108828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.896,208.7035000000019,225.03564028801864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.832,287.4769999999994,227.77160941503078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.768,130.28560000000243,222.27562154337718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.704,-121.20129999999926,213.19133938589835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.64,-403.5729999999994,202.53169955175596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.576,-152.2809999999995,212.04736188564962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.512,-356.6164999999978,204.32749796158208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.448,-105.56979999999976,213.7440825708058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.384,68.47009999999909,220.0837225968317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,-9.831000000000131,217.2755910309117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.256,68.37700000000177,220.06801487254623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.192,-88.88979999999992,214.3677036767522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.128,587.9001999999987,237.9152943114828,23.204694768883677,23.204694768883677,0.0,0.0,0.0,0.0,0.0,0.0
-0.064,2179.3159,285.789836066906,1125.5408852510823,1125.5408852510823,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3413.2531000000004,318.1076008134144,3565.1497568817986,3565.1497568817986,0.0,0.0,0.0,0.0,0.0,0.0
0.064,5742.935900000001,371.63353137385826,6074.05002014306,6074.05002014306,0.0,0.0,0.0,0.0,0.0,0.0
0.128,6695.397899999998,391.44131215823523,8147.959933832582,8147.959933832582,0.0,0.0,0.0,0.0,0.0,0.0
0.192,8673.7031,429.86436110574124,9721.725570974228,9721.725570974228,0.0,0.0,0.0,0.0,0.0,0.0
0.256,10925.178899999999,469.81958515516703,10857.72320247441,10857.72320247441,0.0,0.0,0.0,0.0,0.0,0.0
0.32,12594.237799999999,497.5060929936966,11640.134369199908,11640.134369199908,0.0,0.0,0.0,0.0,0.0,0.0
0.384,13350.116899999994,509.5675076512027,12145.208299197857,12145.208299197857,0.0,0.0,0.0,0.0,0.0,0.0
0.448,12995.35070000001,503.92320582281116,12435.218918607205,12435.218918607205,0.0,0.0,0.0,0.0,0.0,0.0
0.512,12528.7464,496.4162541527071,12559.245248856794,12559.245248856794,3.5721070428273252e-31,0.0,0.0,0.0,0.0,0.0
0.576,12145.034400000008,490.1991593621507,12555.516529490886,12555.516529490706,1.8013177828238724e-10,0.0,0.0,0.0,0.0,0.0
0.64,13994.6102,519.6524347989296,12453.755792467206,12453.755202387427,0.0005900797784808034,0.0,0.0,0.0,0.0,0.0
0.704,13913.789400000005,518.3846641870953,12277.857476449053,12277.12446199458,0.7330144544746999,0.0,0.0,0.0,0.0,0.0
0.768,11748.077400000006,483.7154562630097,12084.507797697062,12043.748842358475,40.75895533858699,0.0,1.7664017795575515e-284,0.0,0.0,0.0
0.832,10667.764599999999,465.3680762418568,12253.251925659748,11767.87376130615,485.378164353598,0.0,2.6439281844824578e-189,0.0,0.0,0.0
0.896,12786.638799999995,500.57325264478135,13867.508231294345,11460.743326813366,2406.7649044809796,0.0,2.108475673992614e-134,0.0,0.0,0.0
0.96,21836.008299999998,630.3013990176703,18046.552670917947,11131.265124014819,6915.28754690313,0.0,5.308098862660059e-99,0.0,0.0,0.0
1.024,24171.496499999987,659.8505044889299,24609.89861330521,10786.515799700992,13823.38281360422,0.0,1.6138096892702099e-74,0.0,0.0,0.0
1.088,29999.5585,729.0769579709175,31877.793227141825,10432.127919243112,21445.66530789871,0.0,9.187584340743444e-57,0.0,0.0,0.0
1.152,34583.820100000004,779.5068745139646,37750.62911469382,10072.588041370065,27678.041073323755,0.0,1.9064797257757677e-43,0.0,0.0,0.0
1.216,45615.153300000005,891.0518997719308,40833.09087247068,9711.468054642044,31121.622817828636,0.0,3.2760980304746546e-33,0.0,0.0,0.0
1.28,45110.509099999996,885.9769655004933,40828.067807741056,9351.606016563745,31476.461791177313,0.0,3.33710555675798e-25,0.0,0.0,0.0
1.344,33618.924699999996,769.1445338286592,38312.343467532424,8995.248509270043,29295.249376887386,21.845581374995835,7.408066300066102e-19,0.0,0.0,0.0
1.408,45457.83970000001,889.5101448611572,43796.48142498082,8644.16345029922,25511.802538563952,9640.515436117648,8.776512430541907e-14,0.0,0.0,0.0
1.472,79670.8021,1179.950587390259,72816.55615043036,8299.73005348185,21049.71495275317,43467.1111441943,1.0485099134668287e-09,0.0,0.0,0.0
1.536,95563.88009999998,1296.9077062245105,102876.70833051152,7963.010990478852,16613.459980133073,78300.23735788958,2.0100205330627593e-06,0.0,0.0,0.0
1.6,114301.03049999996,1425.5389762463103,120853.73869321331,7634.810590783252,12635.904115397425,100583.0231121939,0.0008748387270376211,0.0,0.0,0.0
1.664,117077.21960000001,1445.0478609040376,126544.53707539225,7315.722017692078,9315.971753059424,109912.73068197745,0.1126226632913531,0.0,0.0,0.0
1.728,127340.42109999999,1511.204544050457,123486.28492112175,7006.165684684109,6688.966502971025,109785.88802188257,5.264711584051657,0.0,0.0,0.0
1.792,130030.37509999998,1527.2780467375474,115289.2851531884,6706.420669871096,4695.092189969929,103782.74113265747,105.0311606899029,0.0,0.0,0.0
1.856,112574.04009999997,1412.3928848976327,105285.90153571122,6416.650501935172,3231.684326354331,94620.28432406849,1017.2823833532368,0.0,0.0,0.0
1.92,97834.21990000001,1311.64865766519,97764.11372448028,6136.9243975819245,2186.877390511586,84131.8129489969,5308.4989873898785,0.0,0.0,0.0
1.984,102060.23699999998,1341.2263639452806,97041.48371988305,5867.234805022044,1457.9952073381794,73466.62118563261,16249.632521890224,0.0,0.0,0.0
2.048,96334.6559,1300.7568527801536,101160.99655479245,5607.511933510205,959.4029073477819,63296.08605495715,31297.99565897731,0.0,0.0,0.0
2.112,95248.32999999997,1293.1950669703128,100167.06017013342,5357.63581311736,624.0459626816003,53975.33722057297,40210.04117376149,0.0,0.0,0.0
2.176,94420.32830000002,1287.101697876203,87364.88773653982,5117.4463224962465,401.75614516249374,45658.37338078222,36187.31188809886,0.0,0.0,0.0
2.24,72648.39480000002,1123.8495221183284,67295.72955923519,4886.751538555741,256.2822731179825,38376.252408587585,23776.44333897387,0.0,0.0,0.0
2.304,46591.0885,900.0447701155275,48730.0042266421,4665.334695530939,162.14296490898406,32088.676369478053,11813.850196724123,0.0,0.0,0.0
2.368,28754.1524,714.7339745958815,35846.883376509875,4452.959988023876,101.82615949812164,26717.24313354294,4574.854095444938,0.0,2.4446086504431795e-104,0.0
2.432,27152.434700000005,696.0021551124099,27896.28746010901,4249.377410228709,63.520549510895606,22166.373251894125,1417.016248475283,0.0,1.5714377231582796e-41,0.0
2.496,49373.45460000003,925.71207514233,51140.549471575505,4054.3267894753926,39.38543331410337,18336.088031789037,359.0399548439583,28351.70926215301,1.2098360371762115e-22,0.0
2.56,78458.39189999997,1169.4409421776352,73720.44562828448,3867.541144680487,24.286406332508,15129.475068015583,75.88798059040818,54623.25502866549,1.2167244315108036e-13,0.0
2.624,91272.36359999998,1264.4123300979888,79983.55939867403,3688.7494779307053,14.900767466729647,12456.74156391597,13.61099136418249,63809.556597976894,1.954080975075709e-08,0.0
2.688,75425.12169999999,1145.660241637429,80003.13253881935,3517.679089191764,9.10037040331836,10237.116541097212,2.1028698694276957,66237.1336246063,4.365133892839537e-05,0.0
2.752,69880.34000000001,1101.5984971133676,77412.60490241765,3354.0574892091336,5.534533421247942,8399.431759154042,0.28358881677059755,65653.28876169288,0.008770123573681647,0.0
2.816,70025.55919999997,1102.6653557369625,73690.27233177742,3197.613973401334,3.3529178704757823,6881.9223253484015,0.0337759558565275,63606.95246212347,0.39687707789218335,0.0
2.88,64478.04870000002,1057.5870176979602,69521.00195721874,3048.080909429087,2.024032916918465,5631.595544724939,0.003589943522451189,60832.60105955587,6.696820648421883,0.0
2.944,74271.13110000003,1136.5864564840401,65280.16552223767,2905.194782749453,1.2178229183853633,4603.388983822941,0.0003436825945382915,57713.497583300064,56.86600576423319,0.0
3.008,62898.72130000004,1044.303574332662,61285.2799777448,2768.6970375094065,0.7305162180676991,3759.2546126558977,2.9882699834442136e-05,54462.8955203396,293.7022611391199,0.0
3.072,59062.49040000001,1012.0003817024876,57956.53202340788,2638.334744339256,0.436969864319594,3067.2508457018857,2.3774187820217163e-06,51204.343295421655,1046.1661657033483,0.0
3.136,55117.597700000035,977.6314183488186,55828.16888850979,2513.86112176452,0.26069730990543993,2500.688645671037,1.742294998775497e-07,48010.87637937616,2802.482044213938,0.0
3.2,55418.106100000026,980.327472396521,55362.988068712395,2395.035933897307,0.15515452002365443,2037.3550888558445,1.1832855745493418e-08,44925.646092292955,6004.795799134432,0.0
3.264,55404.15229999996,980.372447744511,56679.44616166738,2281.625783658631,0.0921313194753222,1658.8235613411682,7.488249038511475e-10,41973.45177920074,10765.452906146613,0.0
3.328,65587.92150000001,1067.0064106816926,59393.23868217474,2173.4043179105306,0.054592233525195835,1349.8511409306202,4.43755008839129e-11,39167.50938853345,16702.419242566575,0.0
3.392,50994.776999999995,940.7829315342435,62690.9678328292,2070.1523584509514,0.03228458158260446,1097.8587652638328,2.4736130452749757e-12,36513.58515358598,23009.339270946854,0.0
3.456,64778.488300000026,1060.200555950234,65589.3570316779,1971.6579707708631,0.019057024427597002,892.4871864113279,1.302340832868686e-13,34012.60357596525,28712.589241506023,0.0
3.52,85412.4089,1221.2457709059197,67234.82917841777,1877.7164807311435,0.01122951424600181,725.2205973262278,6.5004817057832805e-15,31662.337135769838,32969.543735076324,0.0
3.584,74734.19429999999,1140.1881444839948,67111.79929418562,1788.1304478361205,0.006606310955090784,589.0696110538959,3.086592379703351e-16,29458.524803705666,35276.06782527898,0.0
3.648,61789.47369999999,1035.1992752404738,65105.64653740016,1702.7096025196618,0.003880536071953486,478.30560245241486,1.3985774732382266e-17,27395.625077192803,35529.0023746992,0.0
3.712,55290.23399999999,979.2780843298774,61441.251651869024,1621.2707537839374,0.002276136390625026,388.23903998452005,6.064799528066504e-19,25467.32943368117,33964.410148283,0.0
3.776,52381.56909999997,953.2893266714526,56555.16961969293,1543.6376726117446,0.0013332599733088045,315.03518630843394,2.5235848015986704e-20,23666.91542833503,31029.579999177753,0.0
3.84,53587.56319999998,964.2376156258489,50959.3311746122,1469.6409557865197,0.0007799644828720998,255.56133439068702,1.0100649869350192e-21,21987.49053938151,27246.637565088997,0.0
3.904,45643.58880000001,890.9237815976437,45133.83909345322,1399.117874079983,0.0004557316457738347,207.26051315077314,3.897511568189267e-23,20422.160449988023,23105.2998005028,0.0
3.968,34797.0933,781.8471969236205,39462.95823433588,1331.9122081888218,0.0002659785512585636,168.04731114122254,1.4528973838573954e-24,18964.144408294913,18998.854040732374,0.0
4.032,38476.552699999986,820.0573619112081,34211.32889440112,1267.874075304848,0.00015506499099749113,136.2221127343495,5.242368621765136e-26,17606.853145236,15200.379406060933,0.0
4.096,33234.56389999999,764.8921218638652,29529.059062750388,1206.8597487757577,9.030990499768558e-05,110.40061325639859,1.834171443973331e-27,16343.940094812398,11867.858515595926,0.0
4.16,25261.011700000025,673.246378434848,25472.850441331448,1148.7314729458174,5.254538277190108e-05,89.45597822520102,6.232915167631638e-29,15169.333475210284,9065.329462404763,0.0
4.224,20874.997399999986,617.6612395138477,22032.66313226398,1093.3572749491054,3.054448308475603e-05,72.47144160999179,2.0603924405543755e-30,14077.254610410682,6789.57977474972,0.0
4.288,18462.638699999992,584.9863815789873,19157.065879871174,1040.6107749549776,1.773985672982445e-05,58.701504977342246,6.634961368293483e-32,13062.226360353538,4995.52722184546,0.0
4.352,18156.23160000001,580.7424103923934,16773.795337359817,990.3709961301311,1.0294500796713374e-05,47.540210392473334,2.0841862374762323e-33,12119.074465108311,3616.8096554344015,0.0
