pass,pulse_index,episode,r0_chosen,profile_shape,grid_widened,amplitude,amplitude_err,t_peak_s,t_peak_err_s,t_v_s,t_v_err_s,t_s,tau1,tau1_err,tau2,tau2_err,delta_chi2,delta_chi2_verdict,r_pinned_4param,audit_all_passed,archived_t_peak_s,archived_t_v_point_s,archived_r,delta_t_peak_vs_archived_s,delta_t_v_vs_archived_s
pass1,1,EX0+TR1,1.1006941712522098,sharp,False,17726.219413797004,163.57035939645513,0.6300674114552767,0.006077729207477181,0.8091946452306852,0.008571148256829341,-0.2922113776133314,0.9675993189516032,0.0102490016027936,0.8790809874561336,0.009311398089020291,2.5316103862815282,4th parameter is dead weight,False,True,0.6516266655543785,0.8098898084658213,1.4199748051060352,-0.021559254099101866,-0.0006951632351360759
pass1,2,EX0+TR1,45894.929374867985,flat,True,20764.173716069166,236.56907254798645,2.469236957513894,0.007407699777199141,0.5424306224611374,0.006445254114231593,-7.063049183534835,2042.1113705729856,24.264719150968737,0.04449535925620671,0.0005287015250154425,0.0020534852291689276,4th parameter is dead weight,False,True,2.4657195385753408,0.542796660334629,18442.43632094866,0.003517418938553174,-0.0003660378734916536
pass1,3,EX0+TR1,4.641588833612779,sharp,False,14445.038061287587,221.41202507162592,1.322231676381739,0.010209254672467031,0.6219077252340779,0.010691483005953292,0.26740514014468686,2.2725548816352794,0.039068467734429124,0.4896071071996347,0.008417046217344544,0.021565973276324257,4th parameter is dead weight,False,True,1.3196585873683695,0.6236748974115802,4.2657255960813005,0.0025730890133695006,-0.0017671721775023297
pass1,4,TR2+EX1,3.314632804660268,flat,False,9441.15620475702,201.51665024238653,3.504837740943416,0.012528238067441801,0.4507485453696806,0.01127742612612985,2.806785994609371,1.2708822966316506,0.03179662222429378,0.38341571194396873,0.009592803818145028,0.5302074736603686,4th parameter is dead weight,False,True,3.490252186007388,0.45108880044409094,2.1817017902971814,0.014585554936028089,-0.00034025507441032277
pass1,5,TR2+EX1,1.7782794100389228,sharp,False,11156.322792131565,144.36976887752792,4.291087584207291,0.013019786726845891,0.8261815417735264,0.0112748834721421,3.213050338039732,1.4375857724347685,0.01961870514634969,0.8084138883457594,0.011032408650517007,0.01975248264500351,4th parameter is dead weight,False,True,4.287411313033937,0.826916154908476,1.672478767153072,0.0036762711733535625,-0.0007346131349496021
pass1,6,TR2+EX1,0.3317671127842857,flat,False,4382.870077905263,96.16539761773019,5.5317382826812125,0.04224595793967385,1.3185674634797362,0.032043107639104264,4.477874481225243,0.6070174194496992,0.014751406392894763,1.82964916068815,0.04446313641245718,0.20053209976802577,4th parameter is dead weight,False,True,5.507535743148114,1.3575823119040538,0.2569714039607792,0.02420253953309892,-0.03901484842431757
pass2,1,EX0+TR1,1.1006941712522098,sharp,False,17687.53984649348,163.12717816509286,0.63338922945776,0.006105695498255781,0.8146908517509364,0.0086043673152695,-0.2951538555053459,0.9741714406495864,0.010288723489872757,0.8850518755280731,0.009347486121569756,0.7752755875080766,4th parameter is dead weight,False,True,0.6516266655543785,0.8098898084658213,1.4199748051060352,-0.018237436096618542,0.004801043285115103
pass2,2,EX0+TR1,58170.91329374358,flat,True,20729.168280263948,236.52930439920792,2.46664399922982,0.007217657583613244,0.5430748194393921,0.0064660441650994695,-7.660044412941502,2442.4202305579556,29.08033389731241,0.041986967236091924,0.0004999119362363539,0.0005104389993846326,4th parameter is dead weight,False,True,2.4657195385753408,0.542796660334629,18442.43632094866,0.0009244606544793754,0.00027815910476303163
pass2,3,EX0+TR1,4.641588833612779,sharp,False,14606.892283535683,222.07648228246364,1.3162260273555595,0.010103208712086146,0.6186050055780937,0.010556231599697747,0.2670012808913751,2.260486191422347,0.03857423646656959,0.4870069867138357,0.008310567318507043,0.0019196700473003148,4th parameter is dead weight,False,True,1.3196585873683695,0.6236748974115802,4.2657255960813005,-0.0034325600128100042,-0.005069891833486495
pass2,4,TR2+EX1,3.314632804660268,flat,False,9467.443965334965,201.8490025851638,3.503364421024551,0.012497456444468124,0.449232486985558,0.011232213164278481,2.807660518545916,1.266607780871514,0.031669144602046416,0.38212612241413396,0.009554344770111672,0.43220261238164426,4th parameter is dead weight,False,True,3.490252186007388,0.45108880044409094,2.1817017902971814,0.013112235017163076,-0.0018563134585329322
pass2,5,TR2+EX1,1.7782794100389228,sharp,False,11160.614574682277,144.05454437300764,4.2962222244471695,0.01292898838598006,0.8284129537631965,0.011248304646340898,3.215273335844166,1.4414685100252305,0.019572457027881917,0.8105973121477462,0.01100640142229028,0.04823862845012172,4th parameter is dead weight,False,True,4.287411313033937,0.826916154908476,1.672478767153072,0.008810911413232425,0.001496798854720427
pass2,6,TR2+EX1,0.3317671127842857,flat,False,4422.717562553693,96.29329054760865,5.526377620688164,0.04191926918598595,1.3173173840935926,0.031865319015002294,4.47351294400244,0.6064419312899341,0.014669559392419654,1.8279145458405979,0.04421643625044225,0.17082269449076648,4th parameter is dead weight,False,True,5.507535743148114,1.3575823119040538,0.2569714039607792,0.01884187754005051,-0.040264927810461204
