t,y_data,y_fit,residual,sigma
-1.984,-69.55429999999978,0.0,-69.55429999999978,200.66127886098238
-1.92,-446.6149999999998,0.0,-446.6149999999998,185.31828102014765
-1.856,-289.28440000000046,0.0,-289.28440000000046,191.8860534567808
-1.792,40.00530000000026,0.0,40.00530000000026,204.90454155774222
-1.728,275.5624000000007,0.0,275.5624000000007,213.74333526322488
-1.664,-132.90080000000034,0.0,-132.90080000000034,198.1696744538801
-1.6,-242.27390000000105,0.0,-242.27390000000105,193.81400637619456
-1.536,-305.4666000000002,0.0,-305.4666000000002,191.22555224426122
-1.472,-23.104499999998097,0.0,-23.104499999998097,202.4825605505201
-1.408,-117.24339999999847,0.0,-117.24339999999847,198.8052447230795
-1.344,-368.082899999999,0.0,-368.082899999999,188.65920571789098
-1.28,-243.20550000000094,0.0,-243.20550000000094,193.76045254706042
-1.216,-54.581600000000435,0.0,-54.581600000000435,201.2716386104187
-1.152,-290.2441999999992,0.0,-290.2441999999992,191.85901447893596
-1.088,-70.59269999999879,0.0,-70.59269999999879,200.64442186061066
-1.024,-23.363899999997557,0.0,-23.363899999997557,202.49327078924205
-0.96,-258.99799999999914,0.0,-258.99799999999914,193.14163894639066
-0.896,149.02450000000042,0.0,149.02450000000042,209.06562815173487
-0.832,-70.64150000000126,0.0,-70.64150000000126,200.6574251691661
-0.768,-102.17170000000058,0.0,-102.17170000000058,199.42066798873878
-0.704,-211.91290000000708,0.0,-211.91290000000708,195.06349724872493
-0.64,-133.5373000000423,0.0,-133.5373000000423,198.19229153561486
-0.576,-55.072900000232906,0.0,-55.072900000232906,201.27811073406713
-0.512,-54.62610000118765,0.0,-54.62610000118765,201.31756703752896
-0.448,38.57679999423896,0.0,38.57679999423896,204.88650503092077
-0.384,-306.332900026332,0.0,-306.332900026332,191.2385910502922
-0.32,-196.56440011379556,0.0,-196.56440011379556,195.6932229829758
-0.256,-416.61030081021545,0.0,-416.61030081021545,186.65243104060028
-0.192,-64.01192920736806,0.0,-64.01192920736806,201.2529168402983
-0.128,-134.4636425516029,0.0,-134.4636425516029,210.90226535990476
-0.064,-119.96644433233405,0.0,-119.96644433233405,254.4887088109165
0.0,313.4276066157563,0.0,313.4276066157563,325.50486074598933
0.064,609.5380395853263,0.0,609.5380395853263,389.56743739539104
0.128,412.9415528324098,0.0,412.9415528324098,435.76157373805916
0.192,-899.6050796903692,0.0,-899.6050796903692,454.0940339089041
0.256,-168.64028241537198,0.0,-168.64028241537198,499.4871885001402
0.32,-834.4687471899524,2.9188372317204075e-13,-834.4687471899528,513.8053384364383
0.384,-652.1695292828863,0.003473027817377747,-652.1730023107036,534.7241994066495
0.448,207.23800202712664,2.8221542205798857,204.41584780654676,559.7415553591626
0.512,382.3092259793666,64.62009481945333,317.68913115991325,569.8674735615893
0.576,410.3851784978833,383.03001181080884,27.355166687074473,574.2001265296681
0.64,980.4376101068956,1178.3995747088145,-197.9619646019189,583.1667847931495
0.704,2580.6340402154055,2510.031587065318,70.60245315008751,603.5856719771743
0.768,3984.9127125041414,4261.719876351657,-276.80716384751577,619.0546740490358
0.832,6797.771220238126,6229.8252873668835,567.9459328712428,650.5965250974505
0.896,7844.145287776846,8207.24971326823,-363.10442549138315,658.3129436918902
0.96,9899.515982894693,10029.162556514733,-129.64657362004073,677.5464113722072
1.024,11374.164719351566,11586.686777654693,-212.52205830312778,688.8445885727042
1.088,12898.681164208905,12822.750996222787,75.93016798611825,700.5679217861316
1.152,14657.275162405545,13720.865870369766,936.4092920357798,714.6219138629018
1.216,14538.22850199564,14292.83643250657,245.3920694890694,707.3308880292326
1.28,15445.304733234001,14568.08817991371,877.2165533202915,712.8120960176129
1.344,13106.189565031153,14585.425640503168,-1479.2360754720157,680.5482701556948
1.408,13844.434641805974,14387.162283280397,-542.7276414744229,686.2626472712664
1.472,14157.319957291584,14015.22453551778,142.09542177380354,688.3923837111652
1.536,13943.826586938558,13508.763245466811,435.06334147174675,686.2246094721168
1.6,12157.039663302341,12902.850101899461,-745.8104385971201,667.2455698987992
1.664,11849.247348149554,12227.917503450502,-378.67015530094795,668.7915694926451
1.728,10761.936879090164,11509.68332489173,-747.7464458015656,663.4938248717913
1.792,10906.317657831345,10769.373469438107,136.9441883932377,676.0816117822347
1.856,11522.338059576188,10024.111624033789,1498.2264355423995,696.4400205636575
1.92,9667.054921116862,9287.388136458438,379.66678465842415,689.2609209238964
1.984,11078.93530069922,8569.550777299173,2509.3845234000473,721.5758819284171
2.048,8352.00263428978,7878.28191813874,473.7207161510396,706.4911381846944
2.112,6538.821280097996,7219.041641345241,-680.2203612472449,701.5183633401606
2.176,4965.244002254571,6595.4663516239125,-1630.2223493693418,698.00810109311
2.24,4740.611461078559,6009.719010877446,-1269.1075497988868,708.1142126480376
2.304,4208.104472063573,5462.791226345711,-1254.6867542821383,711.5075523699696
2.368,5466.614339027008,4954.759858041688,511.85448098532015,731.5877870777674
2.432,5301.309335715028,4485.002125265012,816.3072104500161,731.160405934631
2.496,4387.751364199867,4052.373770327403,335.3775938724639,717.7593350090633
2.56,4179.652138815662,3655.3549488858803,524.2971899297813,708.0991082261369
2.624,4271.916828121906,3292.1683439200665,979.7484842018398,697.7100159119236
2.688,4512.4346926957405,2960.8736678646956,1551.561024831045,685.2025463022767
2.752,2743.72189089924,2659.4423061850257,84.27958471421425,644.5070331255098
2.816,912.8800523255704,2385.815418155359,-1472.9353658297887,598.1191287247932
2.88,2063.5202728444347,2137.948379263819,-74.42810641938422,589.1075591673609
2.944,892.0798295644236,1913.8440435669424,-1021.7642140025189,546.332791940767
3.008,1694.8898556509448,1711.5769335652615,-16.68707791431666,536.4356935222268
3.072,1489.5723712150739,1529.3101340567384,-39.73776284166456,523.4716320002157
3.136,879.6248714039448,1365.3063755653106,-485.68150416136587,515.3492596547571
3.2,1470.0805719132259,1217.9345407313265,252.1460311818994,530.4845316028641
3.264,1764.504359446095,1085.672610636156,678.831748809939,540.2592353336432
3.328,990.8399984437347,967.1078839546497,23.732114489085006,530.4990464493916
3.392,686.8330827192349,860.9351464303408,-174.10206371110587,524.1301448069579
3.456,1017.4315855324221,765.9533378528897,251.4782476795324,527.0638770059784
3.52,1106.4011606952663,681.0611550975926,425.34000559767367,529.50910445661
3.584,59.285438716367935,605.2519397637146,-545.9665010473467,518.3056139706858
3.648,505.060896781888,537.6081247449576,-32.547227963069645,532.5384934614111
3.712,417.1771850833211,477.29545323197226,-60.11826814865117,538.9430657297837
3.776,452.4868807361636,423.5571340481947,28.929746687968873,546.4433652342361
3.84,579.5106619636281,375.7080570135643,203.80260495006377,553.5866620702129
3.904,-30.04260632652222,333.12915963734224,-363.17176596386446,547.9371052744306
3.968,-323.21976411922697,295.2620105186929,-618.4817746379199,544.7728112290482
4.032,297.4444110277291,261.6036542460762,35.840756781652885,553.0985231070918
4.096,70.46499252321883,231.7017463780322,-161.23675385481337,547.175340847591
4.16,1351.6713761187984,205.14999445773475,1146.5213816610637,561.7025691418308
4.224,348.7154618998338,181.58391129361726,167.13155060621656,541.6363056256358
4.288,-35.335741426213644,160.67687937309717,-196.0126207993108,529.2436881874838
4.352,150.21389678104788,142.13651980615413,8.077376974893753,524.5205033692816
4.416,-38.30192253202222,125.7013552409234,-164.00327777294564,513.3843549746321
4.48,152.95992667575229,111.1377534428356,41.82217323291668,507.57612762687677
4.544,376.996719519253,98.2371364268073,278.7595830924457,501.9797705459053
4.608,-528.1118112345757,86.81343897043959,-614.9252502050153,479.4394520776937
