t,y_data,y_fit,residual,sigma
0.512,585.5061009600795,0.0,585.5061009600795,569.8674735615893
0.576,210.35682281453046,0.0,210.35682281453046,574.2001265296681
0.64,-127.03222569518039,0.0,-127.03222569518039,583.1667847931495
0.704,50.328515504221286,0.0,50.328515504221286,603.5856719771743
0.768,-345.88934839293506,0.0,-345.88934839293506,619.0546740490358
0.832,489.62975441600065,0.0,489.62975441600065,650.5965250974505
0.896,-424.74470185165774,0.0,-424.74470185165774,658.3129436918902
0.96,-163.19563930822187,0.0,-163.19563930822187,677.5464113722072
1.024,-217.3950355710258,0.0,-217.3950355710258,688.8445885727042
1.088,94.05925701011802,0.0,94.05925701011802,700.5679217861316
1.152,969.4496108087733,0.0,969.4496108087733,714.6219138629018
1.216,285.47230076490087,0.0,285.47230076490087,707.3308880292326
1.28,918.1697670571375,0.0,918.1697670571375,712.8120960176129
1.344,-1441.3053207894227,0.0,-1441.3053207894227,680.5482701556948
1.408,-509.5374222205355,0.0,-509.5374222205355,686.2626472712664
1.472,170.47701311245692,0.0,170.47701311245692,688.3923837111652
1.536,459.4521246209988,0.0,459.4521246209988,686.2246094721168
1.6,-724.5491903867769,2.1193244868388524e-09,-724.5491903888962,667.2455698987992
1.664,-360.37172041034137,0.47446851302142756,-360.8461889233628,668.7915694926451
1.728,-733.478823190715,70.93511947935112,-804.4139426700661,663.4938248717913
1.792,144.66887473443057,465.6328565755954,-320.9639818411648,676.0816117822347
1.856,1495.6176987349463,929.4951489644103,566.122549770536,696.4400205636575
1.92,362.1936835769375,1039.4501990702774,-677.25651549334,689.2609209238964
1.984,2472.612163844122,839.4595758061054,1633.1525880380163,721.5758819284171
2.048,414.3088577774106,554.4866620055942,-140.17780422818362,706.4911381846944
2.112,-763.5361144003691,320.69213023380917,-1084.2282446341783,701.5183633401606
2.176,-1735.8576800611809,169.11091430287138,-1904.9685943640523,698.00810109311
2.24,-1392.2300054710213,83.41369062071335,-1475.6436960917347,708.1142126480376
