t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6
-1.984,-69.55429999999978,200.66127886098238,2.6244724333710775e-34,0.0,2.6244724333710775e-34,0.0,0.0,0.0,0.0
-1.92,-446.6149999999998,185.31828102014765,8.405874331096584e-33,0.0,8.405874331096584e-33,0.0,0.0,0.0,0.0
-1.856,-289.28440000000046,191.8860534567808,2.401980935867914e-31,0.0,2.401980935867914e-31,0.0,0.0,0.0,0.0
-1.792,40.00530000000026,204.90454155774222,6.147142349028787e-30,0.0,6.147142349028787e-30,0.0,0.0,0.0,0.0
-1.728,275.5624000000007,213.74333526322488,1.4141353612744581e-28,0.0,1.4141353612744581e-28,0.0,0.0,0.0,0.0
-1.664,-132.90080000000034,198.1696744538801,2.9346033366911706e-27,0.0,2.9346033366911706e-27,0.0,0.0,0.0,0.0
-1.6,-242.27390000000105,193.81400637619456,5.511995393589124e-26,0.0,5.511995393589124e-26,0.0,0.0,0.0,0.0
-1.536,-305.4666000000002,191.22555224426122,9.400842126671109e-25,0.0,9.400842126671109e-25,0.0,0.0,0.0,0.0
-1.472,-23.104499999998097,202.4825605505201,1.46036397507181e-23,0.0,1.46036397507181e-23,0.0,0.0,0.0,0.0
-1.408,-117.24339999999847,198.8052447230795,2.072399604930192e-22,0.0,2.072399604930192e-22,0.0,0.0,0.0,0.0
-1.344,-368.082899999999,188.65920571789098,2.6942140843385947e-21,0.0,2.6942140843385947e-21,0.0,0.0,0.0,0.0
-1.28,-243.20550000000094,193.76045254706042,3.2174693392923236e-20,0.0,3.2174693392923236e-20,0.0,0.0,0.0,0.0
-1.216,-54.581600000000435,201.2716386104187,3.5387498397926373e-19,0.0,3.5387498397926373e-19,0.0,0.0,0.0,0.0
-1.152,-290.2441999999992,191.85901447893596,3.593537666872858e-18,0.0,3.593537666872858e-18,0.0,0.0,0.0,0.0
-1.088,-70.59269999999879,200.64442186061066,3.3773169844680955e-17,0.0,3.3773169844680955e-17,0.0,0.0,0.0,0.0
-1.024,-23.363899999997557,202.49327078924205,2.9444073861162495e-16,0.0,2.9444073861162495e-16,0.0,0.0,0.0,0.0
-0.96,-258.99799999999914,193.14163894639066,2.3864942430915276e-15,0.0,2.3864942430915276e-15,0.0,0.0,0.0,0.0
-0.896,149.02450000000044,209.06562815173487,1.8021127966570477e-14,0.0,1.8021127966570477e-14,0.0,0.0,0.0,0.0
-0.832,-70.64150000000109,200.6574251691661,1.2704272548551702e-13,0.0,1.2704272548551702e-13,0.0,0.0,0.0,0.0
-0.768,-102.17169999999942,199.42066798873878,8.377554061714532e-13,0.0,8.377554061714532e-13,0.0,0.0,0.0,0.0
-0.704,-211.9128999999998,195.06349724872493,5.17732487495626e-12,0.0,5.17732487495626e-12,0.0,0.0,0.0,0.0
-0.64,-133.53729999999996,198.19229153561486,3.0040334478858527e-11,0.0,3.0040334478858527e-11,0.0,0.0,0.0,0.0
-0.576,-55.07290000000148,201.27811073406713,1.6393678585453656e-10,0.0,1.6393678585453656e-10,0.0,0.0,0.0,0.0
-0.512,-54.62609999999813,201.31756703752896,8.428563597334951e-10,0.0,8.428563597334951e-10,0.0,0.0,0.0,0.0
-0.448,38.57679999999982,204.88650503092077,4.089241324927156e-09,0.0,4.089241324927156e-09,0.0,0.0,0.0,0.0
-0.384,-306.332899999999,191.2385910502922,1.8751023776848156e-08,0.0,1.8751023776848156e-08,0.0,0.0,0.0,0.0
-0.32,-196.56439999999884,195.6932229829758,8.138737001111931e-08,0.0,8.138737001111931e-08,0.0,0.0,0.0,0.0
-0.256,-416.6102999999989,186.65243104060028,6.824413206117903e-06,6.489546252454474e-06,3.3486695366342886e-07,0.0,0.0,0.0,0.0
-0.192,-55.75129999999763,201.2529168402983,12.163214840639863,12.163213532717283,1.3079225815267055e-06,0.0,0.0,0.0,0.0
-0.128,196.45730000000003,210.90226535990476,376.65458935018444,376.65458449421203,4.855972400657329e-06,0.0,0.0,0.0,0.0
-0.064,1486.1133000000004,254.4887088109165,1696.5295235534504,1696.5295063931687,1.7160281573663747e-05,0.0,0.0,0.0,0.0
0.0,4093.032799999998,325.50486074598933,3869.216407196272,3869.2163494030697,5.7793202337939935e-05,0.0,0.0,0.0,0.0
0.064,6980.514699999995,389.56743739539104,6418.435350798966,6418.435165076379,0.000185722587284812,0.0,0.0,0.0,0.0
0.128,9371.98309999999,435.76157373805916,8942.833005244207,8942.832435077438,0.0005701667678900028,0.0,0.0,0.0,0.0
0.192,10393.695199999996,454.0940339089041,11207.848482907408,11207.846808794464,0.001674112944474805,0.0,0.0,0.0,0.0
0.256,13090.5997,499.4871885001402,13108.360978227194,13108.356271778435,0.004706448759855918,2.7084770463012186e-75,0.0,0.0,0.0
0.32,13991.860800000002,513.8053384364383,14618.3852651927,14618.372583001552,0.012682122548601614,6.860017774282035e-08,0.0,0.0,0.0
0.384,15357.438799999993,534.7241994066495,15754.634754497427,15754.543339340531,0.03278912179556594,0.058626035101649106,0.0,0.0,0.0
0.448,17053.157700000003,559.7415553591626,16562.740292407747,16553.71408235851,0.08142196057035547,8.944788088666362,0.0,0.0,0.0
0.512,17762.668599999997,569.8674735615893,17177.162499039918,17060.172571827126,0.19437841845330053,116.79554879433478,0.0,0.0,0.0
0.576,18069.386700000006,574.2001265296681,17859.029877185476,17318.8097112359,0.4465362018458506,539.7736297477317,0.0,0.0,0.0
0.64,18705.7185,583.1667847931495,18832.75072569518,17371.707470206606,0.9880115722272451,1460.0552439163473,0.0,0.0,0.0
0.704,20199.0799,603.5856719771743,20148.75138449578,17256.647092937037,2.1073970461691998,2889.9968945125734,0.0,0.0,0.0
0.768,21358.0795,619.0546740490358,21703.968848392935,17006.66015799395,4.3369066535914556,4692.971783745395,0.0,0.0,0.0
0.832,23817.55820000001,650.5965250974505,23327.92844558401,16650.121882701904,8.618310702735128,6669.188252179371,0.0,0.0,0.0
0.896,24429.082900000005,658.3129436918902,24853.827601851663,16211.105424612411,16.550861759214083,8626.171315480036,0.0,0.0,0.0
0.96,25991.8843,677.5464113722072,26155.079939308223,15709.841965123836,30.740642794071388,10414.497331390316,0.0,0.0,0.0
1.024,26938.075499999988,688.8445885727042,27155.470535571014,15163.203232295755,55.26198368488073,11937.005319590378,0.0,0.0,0.0
1.088,27919.196699999997,700.5679217861316,27825.13744298988,14585.163819647805,96.22296568288027,13143.750657659191,0.0,0.0,0.0
1.152,29140.5706,714.6219138629018,28171.120989191226,13987.223468937147,162.39695624192157,14021.500564012156,0.0,0.0,0.0
1.216,28512.711600000002,707.3308880292326,28227.2392992351,13378.78204577784,265.841624631757,14582.615628825506,0.0,0.0,0.0
1.28,28963.479000000007,712.8120960176129,28045.30923294287,12767.466639152446,422.38099208760394,14855.461601702817,0.0,0.0,0.0
1.344,26246.8869,680.5482701556948,27688.192220789428,12159.413588640522,651.7843874818819,14876.994244667023,0.0,0.0,0.0
1.408,26714.869899999998,686.2626472712664,27224.407322220533,11559.509745506444,977.4522413433039,14687.445335370787,0.0,0.0,0.0
1.472,26894.26440000001,688.3923837111652,26723.787386887554,10971.597747253729,1425.427465635973,14326.762173997853,0.0,0.0,0.0
1.536,26713.10239999999,686.2246094721168,26253.65027537899,10398.650013976794,2022.605153571787,13832.39510783041,0.0,0.0,0.0
1.6,25150.548300000006,667.2455698987992,25875.097490386783,9842.91583525757,2794.11742395771,13238.064231171504,0.0,0.0,0.0
1.664,25278.895999999997,668.7915694926451,25639.26772041034,9306.04546405604,3760.017566061624,12573.204690292672,0.0,0.0,0.0
1.728,24850.134199999993,663.4938248717913,25583.61302319071,8789.194654369814,4931.557554405025,11862.86081441587,0.0,0.0,0.0
1.792,25873.155200000016,676.0816117822347,25728.486325265585,8293.1126170732,6307.512736551949,11127.860971640433,0.0,0.0,0.0
1.856,27570.106099999997,696.4400205636575,26074.48840126505,7818.215944673633,7871.118044434698,10385.154412156719,0.0,0.0,0.0
1.92,26963.278599999998,689.2609209238964,26601.084916423068,7364.6506790130725,9588.20533222946,9648.228905180533,0.0,0.0,0.0
1.984,29739.56050000001,721.5758819284171,27266.948336155892,6932.344367309532,11407.048424328144,8927.555544518214,0.0,0.0,0.0
2.048,28426.61500000001,706.4911381846944,28012.3061422226,6521.0496688079,13260.229678565645,8231.026794849055,0.0,0.0,0.0
2.112,27999.7753,701.5183633401606,28763.31141440037,6130.38083242018,15068.56299220089,7564.367589779301,0.0,0.0,0.0
2.176,27702.284400000004,698.00810109311,29438.142080061185,5759.844160233521,16746.789270558173,6931.508649269494,0.0,0.0,0.0
2.24,28562.011699999995,708.1142126480376,29954.241705471017,5408.86339782467,18210.460920428886,6334.917387217461,0.0,0.0,0.0
2.304,28848.603399999974,711.5075523699696,30235.898214163957,5076.8008454450555,19383.211612736723,5775.885755982176,0.0,0.0,0.0
2.368,30601.616099999977,731.5877870777674,30221.26398624231,4762.9748602981535,20203.512320989703,5254.776804954452,0.0,0.0,0.0
2.432,30566.05320000001,731.160405934631,29867.973150125978,4466.674315785431,20630.06572692565,4771.233107414893,0.0,0.0,0.0
2.496,29399.57649999999,717.7593350090633,29156.701443441994,4187.170495700685,20645.18006320662,4324.350884534691,0.0,0.0,0.0
2.56,28561.163899999996,708.0991082261369,28092.305164789417,3923.7268273023624,20255.754463654317,3912.823873832738,0.0,0.0,0.0
2.624,27672.843999999997,697.7100159119236,26702.51396133021,3675.606794783946,19491.846244052464,3535.060922493799,0.0,0.0,0.0
2.688,26628.236899999993,685.2025463022767,25034.476702363278,3442.0803220333614,18403.115329951845,3189.2810503780697,0.0,0.0,0.0
2.752,23329.502600000018,644.5070331255098,23149.716505026783,3222.4288691595116,17053.698234165855,2873.5894017014193,0.0,0.0,0.0
2.816,19791.7919,598.1191287247932,21118.203397559235,3015.949449755367,15516.216808040263,2586.0371397636027,0.0,0.0,0.0
2.88,19129.521499999995,589.1075591673609,19012.287280058958,2821.957744162869,13865.661528882236,2324.6679686311127,3.8382737647371055e-05,0.0,0.0
2.944,16131.346999999994,546.332791940767,16912.06913758449,2639.790457184087,12173.814227529503,2087.553609435492,10.910843435409884,0.0,0.0
3.008,15468.47440000001,536.4356935222268,15182.284792280465,2468.8070459746114,10504.717747663857,1872.8202283697276,335.93977027226646,0.0,0.0
3.072,14622.866299999996,523.4716320002157,14437.92564564898,2308.39092461255,8911.49702540376,1678.6675142451256,1539.370181387545,0.0,0.0
3.136,14095.065700000001,515.3492596547571,14556.603667294119,2157.950235518275,7434.62597812223,1503.3818375673395,3460.6456160862754,0.0,0.0
3.2,15077.795799999996,530.4845316028641,14983.569188334892,2016.9182640518502,6101.5500826978805,1345.3446901169077,5519.756151468254,0.0,0.0
3.264,15724.838700000006,540.2592353336432,15284.268171148296,1884.7535608552532,4927.437726463672,1203.0374021949822,7269.039466748837,1.488555272984126e-05,0.0
3.328,15078.1269,530.4990464493916,15263.201412768574,1760.9398265144382,3916.754164165647,1075.0429614757586,8508.792190739014,1.6722698737157882,0.0
3.392,14660.085999999996,524.1301448069579,14957.700989735818,1644.985604622163,3065.3287648192563,960.0456099090889,9216.235845999447,71.10516438586288,0.0
3.456,14852.475200000006,527.0638770059784,14654.882372375248,1536.4238220987197,2362.6093398930607,856.828770381785,9459.354274021855,439.66616597982915,0.0
3.52,15013.031000000014,529.50910445661,14597.134248551325,1434.8112094828928,1793.852193275935,764.2717500093215,9338.79674509735,1265.402350685826,0.0
