t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse5,y_pulse6
-1.984,-69.55429999999978,200.66127886098238,7.970728157738434e-34,0.0,7.970728157738434e-34,0.0,0.0,0.0
-1.92,-446.6149999999998,185.31828102014765,2.4309123863830212e-32,0.0,2.4309123863830212e-32,0.0,0.0,0.0
-1.856,-289.28440000000046,191.8860534567808,6.627970244628349e-31,0.0,6.627970244628349e-31,0.0,0.0,0.0
-1.792,40.00530000000026,204.90454155774222,1.621664991224811e-29,0.0,1.621664991224811e-29,0.0,0.0,0.0
-1.728,275.5624000000007,213.74333526322488,3.5732923258914668e-28,0.0,3.5732923258914668e-28,0.0,0.0,0.0
-1.664,-132.90080000000034,198.1696744538801,7.115283596492205e-27,0.0,7.115283596492205e-27,0.0,0.0,0.0
-1.6,-242.27390000000105,193.81400637619456,1.284568439514503e-25,0.0,1.284568439514503e-25,0.0,0.0,0.0
-1.536,-305.4666000000002,191.22555224426122,2.1092489450830906e-24,0.0,2.1092489450830906e-24,0.0,0.0,0.0
-1.472,-23.104499999998097,202.4825605505201,3.1594428193627535e-23,0.0,3.1594428193627535e-23,0.0,0.0,0.0
-1.408,-117.24339999999847,198.8052447230795,4.329692574233796e-22,0.0,4.329692574233796e-22,0.0,0.0,0.0
-1.344,-368.082899999999,188.65920571789098,5.4433657741592704e-21,0.0,5.4433657741592704e-21,0.0,0.0,0.0
-1.28,-243.20550000000094,193.76045254706042,6.294955758434152e-20,0.0,6.294955758434152e-20,0.0,0.0,0.0
-1.216,-54.581600000000435,201.2716386104187,6.713309534903146e-19,0.0,6.713309534903146e-19,0.0,0.0,0.0
-1.152,-290.2441999999992,191.85901447893596,6.6184952378646895e-18,0.0,6.6184952378646895e-18,0.0,0.0,0.0
-1.088,-70.59269999999879,200.64442186061066,6.046138336260096e-17,0.0,6.046138336260096e-17,0.0,0.0,0.0
-1.024,-23.363899999997557,202.49327078924205,5.129448715106054e-16,0.0,5.129448715106054e-16,0.0,0.0,0.0
-0.96,-258.99799999999914,193.14163894639066,4.050200715357814e-15,0.0,4.050200715357814e-15,0.0,0.0,0.0
-0.896,149.02450000000044,209.06562815173487,2.982626103395961e-14,0.0,2.982626103395961e-14,0.0,0.0,0.0
-0.832,-70.64150000000109,200.6574251691661,2.0526085268364965e-13,0.0,2.0526085268364965e-13,0.0,0.0,0.0
-0.768,-102.17169999999942,199.42066798873878,1.3226173480993942e-12,0.0,1.3226173480993942e-12,0.0,0.0,0.0
-0.704,-211.9128999999998,195.06349724872493,7.994428757565947e-12,0.0,7.994428757565947e-12,0.0,0.0,0.0
-0.64,-133.53729999999996,198.19229153561486,4.540882387081595e-11,0.0,4.540882387081595e-11,0.0,0.0,0.0
-0.576,-55.07290000000148,201.27811073406713,2.427943615171997e-10,0.0,2.427943615171997e-10,0.0,0.0,0.0
-0.512,-54.62609999999813,201.31756703752896,1.2240556763149602e-09,0.0,1.2240556763149602e-09,0.0,0.0,0.0
-0.448,38.57679999999982,204.88650503092077,5.828015391333468e-09,0.0,5.828015391333468e-09,0.0,0.0,0.0
-0.384,-306.332899999999,191.2385910502922,2.6246115172363362e-08,0.0,2.6246115172363362e-08,0.0,0.0,0.0
-0.32,-196.56439999999884,195.6932229829758,1.1196398440209487e-07,0.0,1.1196398440209487e-07,0.0,0.0,0.0
-0.256,-416.6102999999989,186.65243104060028,5.963108581726749e-06,5.510021058116793e-06,4.5308752360995573e-07,0.0,0.0,0.0
-0.192,-55.75129999999763,201.2529168402983,11.903764819965565,11.90376307825462,1.741710944275426e-06,0.0,0.0,0.0
-0.128,196.45730000000003,210.90226535990476,374.11529213477587,374.1152857662444,6.368531443429081e-06,0.0,0.0,0.0
-0.064,1486.1133000000004,254.4887088109165,1692.160322789726,1692.1603006112905,2.2178435569101847e-05,0.0,0.0,0.0
0.0,4093.032799999998,325.50486074598933,3865.777389944241,3865.7773162911376,7.365310307663625e-05,0.0,0.0,0.0
0.064,6980.514699999995,389.56743739539104,6417.988348459601,6417.988114930163,0.00023352943833578792,0.0,0.0,0.0
0.128,9371.98309999999,435.76157373805916,8946.174818118305,8946.174110356493,0.0007077618118203952,0.0,0.0,0.0
0.192,10393.695199999996,454.0940339089041,11214.910852297378,11214.908799645746,0.0020526516333191323,0.0,0.0,0.0
0.256,13090.5997,499.4871885001402,13118.641250785304,13118.635547859965,0.00570292533839324,6.613349974681787e-216,0.0,0.0
0.32,13991.860800000002,513.8053384364383,14631.223994015829,14631.208799361673,0.015194650939984556,3.2167449664622786e-09,0.0,0.0
0.384,15357.438799999993,534.7241994066495,15769.334586436375,15769.267949712668,0.0388629619954767,0.02777376171012224,0.0,0.0
0.448,17053.157700000003,559.7415553591626,16576.489140776353,16569.720293212355,0.09551257305955957,6.6733349909423945,0.0,0.0
0.512,17762.668599999997,569.8674735615893,17178.88577205373,17076.94174733661,0.22577632837431877,101.71824838874723,0.0,0.0
0.576,18069.386700000006,574.2001265296681,17839.316422987336,17335.915543885527,0.5137953222098226,502.887083779597,0.0,0.0
0.64,18705.7185,583.1667847931495,18796.728141727373,17388.809722979535,1.1266366310320912,1406.791782116804,0.0,0.0
0.704,20199.0799,603.5856719771743,20111.289142288984,17273.481161690896,2.3825147714578416,2835.4254658266327,0.0,0.0
0.768,21358.0795,619.0546740490358,21679.05232744146,17023.025624038204,4.863061624541901,4651.163641778713,0.0,0.0
0.832,23817.55820000001,650.5965250974505,23322.753413278857,16665.871568759383,9.588698042977231,6647.293146476493,0.0,0.0
0.896,24429.082900000005,658.3129436918902,24868.260994061093,16226.135596002154,18.277960484747073,8623.847437574193,0.0,0.0
0.96,25991.8843,677.5464113722072,26183.841127385316,15724.083872641088,33.709028635126806,10426.048226109102,0.0,0.0
1.024,26938.075499999988,688.8445885727042,27190.877589416683,15176.615976040097,60.191809311696325,11954.069804064891,0.0,0.0
1.088,27919.196699999997,700.5679217861316,27859.376889870895,14597.728416336,104.13911459630977,13157.509358938587,0.0,0.0
1.152,29140.5706,714.6219138629018,28197.75016299793,13998.937970846991,174.69445880168917,14024.11773334925,0.0,0.0
1.216,28512.711600000002,707.3308880292326,28241.98006903225,13389.657556128697,284.3332838912797,14567.989229012275,0.0,0.0
1.28,28963.479000000007,712.8120960176129,28046.300484175634,12777.524079779912,449.3094865464266,14819.466917849297,0.0,0.0
1.344,26246.8869,680.5482701556948,27675.86726406828,12168.681092543286,689.7798930796849,14817.40627844531,0.0,0.0
1.408,26714.869899999998,686.2626472712664,27201.12594176572,11568.02056480058,1029.4193054671575,14603.686071497985,0.0,0.0
