t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6,y_pulse7
-1.984,-69.55429999999978,200.66127886098238,1.2066388653150663e-104,0.0,1.2066388653150663e-104,0.0,0.0,0.0,0.0,0.0
-1.92,-446.6149999999998,185.31828102014765,3.3616458811523924e-99,0.0,3.3616458811523924e-99,0.0,0.0,0.0,0.0,0.0
-1.856,-289.28440000000046,191.8860534567808,4.858772008747734e-94,0.0,4.858772008747734e-94,0.0,0.0,0.0,0.0,0.0
-1.792,40.00530000000026,204.90454155774222,3.803761897217435e-89,0.0,3.803761897217435e-89,0.0,0.0,0.0,0.0,0.0
-1.728,275.5624000000007,213.74333526322488,1.6777284089909949e-84,0.0,1.6777284089909949e-84,0.0,0.0,0.0,0.0,0.0
-1.664,-132.90080000000034,198.1696744538801,4.322408658587837e-80,0.0,4.322408658587837e-80,0.0,0.0,0.0,0.0,0.0
-1.6,-242.27390000000105,193.81400637619456,6.723764397201164e-76,0.0,6.723764397201164e-76,0.0,0.0,0.0,0.0,0.0
-1.536,-305.4666000000002,191.22555224426122,6.510438493734227e-72,0.0,6.510438493734227e-72,0.0,0.0,0.0,0.0,0.0
-1.472,-23.104499999998097,202.4825605505201,4.035560220920538e-68,0.0,4.035560220920538e-68,0.0,0.0,0.0,0.0,0.0
-1.408,-117.24339999999847,198.8052447230795,1.6433691706524468e-64,0.0,1.6433691706524468e-64,0.0,0.0,0.0,0.0,0.0
-1.344,-368.082899999999,188.65920571789098,4.50290324177828e-61,0.0,4.50290324177828e-61,0.0,0.0,0.0,0.0,0.0
-1.28,-243.20550000000094,193.76045254706042,8.487715297655204e-58,0.0,8.487715297655204e-58,0.0,0.0,0.0,0.0,0.0
-1.216,-54.581600000000435,201.2716386104187,1.123417163819834e-54,0.0,1.123417163819834e-54,0.0,0.0,0.0,0.0,0.0
-1.152,-290.2441999999992,191.85901447893596,1.0641789741463103e-51,0.0,1.0641789741463103e-51,0.0,0.0,0.0,0.0,0.0
-1.088,-70.59269999999879,200.64442186061066,7.34343691527072e-49,0.0,7.34343691527072e-49,0.0,0.0,0.0,0.0,0.0
-1.024,-23.363899999997557,202.49327078924205,3.752751664223041e-46,0.0,3.752751664223041e-46,0.0,0.0,0.0,0.0,0.0
-0.96,-258.99799999999914,193.14163894639066,1.4422253500676581e-43,0.0,1.4422253500676581e-43,0.0,0.0,0.0,0.0,0.0
-0.896,149.02450000000044,209.06562815173487,4.2283368203324723e-41,0.0,4.2283368203324723e-41,0.0,0.0,0.0,0.0,0.0
-0.832,-70.64150000000109,200.6574251691661,9.584501428602389e-39,0.0,9.584501428602389e-39,0.0,0.0,0.0,0.0,0.0
-0.768,-102.17169999999942,199.42066798873878,1.7008522748429263e-36,0.0,1.7008522748429263e-36,0.0,0.0,0.0,0.0,0.0
-0.704,-211.9128999999998,195.06349724872493,2.390824565967203e-34,0.0,2.390824565967203e-34,0.0,0.0,0.0,0.0,0.0
-0.64,-133.53729999999996,198.19229153561486,2.691412880254461e-32,0.0,2.691412880254461e-32,0.0,0.0,0.0,0.0,0.0
-0.576,-55.07290000000148,201.27811073406713,2.4515294962006637e-30,0.0,2.4515294962006637e-30,0.0,0.0,0.0,0.0,0.0
-0.512,-54.62609999999813,201.31756703752896,1.8243931501602362e-28,0.0,1.8243931501602362e-28,0.0,0.0,0.0,0.0,0.0
-0.448,38.57679999999982,204.88650503092077,1.1193674281808838e-26,0.0,1.1193674281808838e-26,0.0,0.0,0.0,0.0,0.0
-0.384,-306.332899999999,191.2385910502922,5.711036192975778e-25,0.0,5.711036192975778e-25,0.0,0.0,0.0,0.0,0.0
-0.32,-196.56439999999884,195.6932229829758,2.4425526395823765e-23,0.0,2.4425526395823765e-23,0.0,0.0,0.0,0.0,0.0
