model,window,window_start_s,window_stop_s,pulse_index,A_norm,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,mc_kept_fraction,n_samples,seed
SIMPLE,narrow_-1_160,-1.0,160.0,1,0.1382060471098833,-0.3106765875069596,0.07864766429369342,1.7184011237468024,0.05694854044588321,0.8724048270088836,0.10095763084336817,0.09995408367356551,0.831,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,2,0.35672878542472963,4.137686611665203,5.976180249228871,13.932943387758494,13.262695164403457,10.543688918069702,0.17071938004879428,0.16965535497051398,1.0,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,3,0.5506661304590695,11.076904030779291,5.5331466309970505,1.4756451422145374,13.93434360970157,1.776113121804451,0.038610289145065924,0.03718559343021588,1.0,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,4,0.23235204240707516,26.731720822688207,2.535232756510018,3.7863046800196907,29.829972531460932,3.112328750865743,0.11638910580460671,0.1157044571951702,1.0,10000,12345
SIMPLE,narrow_-1_160,-1.0,160.0,5,0.05031079264093067,-0.9599999999969241,3440.7994108195544,4.462015179302868,122.94681660027416,17.22125114431224,6.05976544829614,2.330185343977515,0.6128,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,1,0.1381840900179524,-0.31072321750997145,0.07863664843489046,1.719097085791681,0.05695059602703467,0.8740174321231329,0.09382963108762077,0.0914910090601363,0.8519,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,2,0.35672081721112286,4.1382006971469885,5.974623117582295,13.934478117159191,13.262522868696166,10.545955315943752,0.15642661904893274,0.1553559648175309,1.0,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,3,0.5506732234074422,11.076895047812512,5.533048756962546,1.475684346887956,13.934347311843792,1.7775711308604962,0.03515959127345192,0.033887069440294626,1.0,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,4,0.23235091852456374,26.73157903823149,2.535945617987404,3.785683098963358,29.830011943089218,3.116646668886755,0.10578747608418437,0.10501399431432246,1.0,10000,12345
SIMPLE,wide_-20_300,-20.0,300.0,5,0.0507794545368873,-19.967974955844834,5508.7823559129665,3.716042965636413,123.10847986084526,17.093815616059345,5.865348244692347,2.006642810784424,0.6469,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,1,0.1382033419912388,-0.31090033545956897,0.07902146796152403,1.7170181895901744,0.057449088129031156,0.8743480338432209,0.09090278455259959,0.08824014025766092,0.86,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,2,0.3568400025376037,4.132250559253432,5.99537615670713,13.911967063072993,13.26501988858847,10.540417469008519,0.15171696205555563,0.14976813469820627,1.0,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,3,0.5505653697566572,11.077276685920266,5.532914003113597,1.4752386810524112,13.934262642541285,1.7776591249612648,0.033885710946468084,0.03261413188986961,1.0,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,4,0.23236806098881962,26.733521545882613,2.52553143512817,3.79520365845059,29.82947150383258,3.1216414044234155,0.10120862325287172,0.10159784579895126,1.0,10000,12345
SIMPLE,widest_full_range,-133.184,481.152,5,0.05068881681445566,-60.65400675950996,11584.777476460968,2.9243221087255353,123.40473630661126,16.881018871216288,6.598926657645377,2.2236835366659093,0.5691,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,1,0.13714049033877962,-0.30820342692385877,0.07264417646735047,1.7791638544708497,0.05130442140286673,0.8903088598760085,0.10080632336483819,0.10044419610316702,0.8286,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,2,0.34848540848920356,4.362143460794617,5.411682937187832,13.095104648014848,12.780370969264023,9.831071876236173,0.23242194159766072,0.22458034365102542,1.0,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,3,0.5573499178345848,11.201620108975469,4.489191203630788,1.661634270968965,13.932809218664751,1.8571304191863964,0.04423309716750423,0.042333433553880084,1.0,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,4,0.27712156643168256,22.919143271875868,49.59178181978943,1.059219017903555,30.16680209629943,2.048167952969545,0.7378521807770377,0.31551400877054947,0.636,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,5,0.06361101813587842,23.075062441082835,1.0970775883785957,0.961957717237854,24.102360962715903,0.7638433152862212,0.29881868772679593,0.2554813409004928,0.6066,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,6,0.07596504859602503,25.40646701227128,80.13325252482059,1.9356047327837245,37.860635103332044,3.524971474288745,1.3503774948892278,0.8849903117853737,0.4934,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,7,0.050089780592272724,-0.9517251791881657,3306.376368530777,4.628657597998763,122.75795148372912,17.610339399418503,6.018264774802375,2.2980673812544694,0.6234,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,1,0.13711335968812424,-0.30823775144336785,0.07262605614880736,1.7801752793179397,0.0513274162112084,0.8920852392770146,0.09445448389599376,0.09246979622617202,0.8473,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,2,0.34834529451673074,4.368592698497504,5.388581501050257,13.124336222503185,12.778203592120612,9.842980553457737,0.21358864252524157,0.20710950973362685,1.0,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,3,0.5574851095032594,11.200429721932595,4.494024692364954,1.6614803963674372,13.932962233570027,1.8586418761780952,0.04048498786878807,0.03892009384396555,1.0,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,4,0.27707626642618677,22.674091430641635,55.665966337643425,1.0080493818943297,30.16502214445898,2.014594398377783,0.7741539717239874,0.3301354865777175,0.6313,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,5,0.06368699211382489,23.06728244482777,1.1458036281056376,0.9393017488498171,24.104709720215347,0.7606598988965356,0.2830121612592608,0.23800151024265148,0.63,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,6,0.07660456814012136,24.626854000321657,92.93317058237592,1.8668570169641097,37.79852593711203,3.5396715546029145,1.4108906036070104,0.8920201786367312,0.4707,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,7,0.05060066453551002,-1.3871289971779337,3500.2746988965882,4.398595814073626,122.69467320876342,17.6026256409696,5.2725503547507255,1.8340400641543226,0.7074,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,1,0.13711656061127114,-0.30820930315040673,0.07259529281354982,1.7801982225930975,0.051282019742520446,0.8921738411235048,0.09246541267909703,0.09003910241601865,0.8554,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,2,0.34835097521229696,4.368368684472001,5.389464094800761,13.12298952606642,12.778236749262401,9.84312783771512,0.20666445753017548,0.20121423501809765,1.0,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,3,0.5574796834891772,11.200518690139798,4.493583267182394,1.6615214677532304,13.932950768995601,1.8590407038346073,0.03927420571776441,0.03767638515168814,1.0,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,4,0.2770920221866193,22.680506441282386,55.49236002686593,1.0095601862101773,30.165349614119407,2.0201881159886854,0.769758030722475,0.3229789878184923,0.6472,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,5,0.0636903312815633,23.067940229422152,1.1427909168281627,0.9402439010081044,24.104522203833795,0.7630545694493944,0.2774947341283183,0.23148307329844053,0.642,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,6,0.07658851826996178,24.682663309228435,91.88035306138214,1.8726450607205678,37.7998005478815,3.5551554754801042,1.3679854191357017,0.8634720501783733,0.4823,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,7,0.05060073773256315,-1.6544040606752035,3522.9410823582984,4.389386787948349,122.6981232221427,17.64422019087382,5.136889402215633,1.7942145443081507,0.7171,10000,12345
