model,window,window_start_s,window_stop_s,pulse_index,A_norm,t_s,tau1,tau2,t_peak_s,t_v_s,t_v_err_lower_s,t_v_err_upper_s,mc_kept_fraction,n_samples,seed
COMPLEX,narrow_-1_160,-1.0,160.0,1,0.14391025019278267,-0.29148265697711745,0.08673587313964706,1.8065115643916738,0.10435740905256274,0.930793830371997,0.06110424571502959,0.060415332515257214,0.9831,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,2,0.36768642310401956,4.495952267481193,4.637911087073999,15.657492677431888,13.017575286862026,11.036508588135163,0.12467370760601959,0.12415700724322676,1.0,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,3,0.5660521106493882,10.95607938846874,6.032166500848661,1.5360743247831297,14.000066261760168,1.87402269816812,0.02638189509451294,0.025282934665465717,1.0,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,4,0.2751450576567729,22.98734148710506,50.0272811210216,1.028912485526091,30.161858485645297,2.1334120779987047,0.45682852640498695,0.18614114872096188,0.8593,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,5,0.057498761292047985,23.1782495504583,0.41573501303259375,1.3156019485757215,23.91780468243754,0.8598676018774729,0.22583439641538872,0.1919912213782773,0.7647,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,6,0.06303366183095689,19.878258052960117,266.7811027064711,1.2399174470938228,38.06579619864335,3.3201991448553465,1.3413143864832762,0.7596926674846523,0.4077,10000,12345
COMPLEX,narrow_-1_160,-1.0,160.0,7,0.06897436646070071,-0.5752350476417463,2004.4754294160762,7.500580592262525,122.04095272357104,24.28910574048664,3.1227897765006922,1.1213748532714973,0.8992,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,1,0.14386737924560417,-0.2915522371215365,0.08672254045399014,1.807973967885554,0.10441757936668528,0.9333683838648431,0.054073357045460124,0.05344279974722321,0.9914,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,2,0.3675180172836681,4.502406015109635,4.617327224411058,15.693520181836004,13.014874398747589,11.0488478387831,0.1094867037138858,0.10907726028504605,1.0,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,3,0.5662017769970539,10.954839673167942,6.0367870566270065,1.5363037004496005,14.00021950069723,1.8753085517731667,0.023452626097011375,0.022370816162503138,1.0,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,4,0.274637158830715,22.827553622357208,54.09129809523228,0.9925115289569373,30.154642879065115,2.1365542347608817,0.39560109371573393,0.16635218519897688,0.887,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,5,0.057573338118024356,23.172195051808657,0.43713485623755594,1.2873631557391105,23.92236257177306,0.8603967331506236,0.19377320129157316,0.1690715972730411,0.7965,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,6,0.06329166904772328,15.867845232819219,464.88801116479146,1.0579277131991314,38.04481325248458,3.3541921588056676,1.4683460974007125,0.7700431481323422,0.3654,10000,12345
COMPLEX,wide_-20_300,-20.0,300.0,7,0.06961259138792249,-7.729207506925872,2497.8274813235494,6.740780031247363,122.02943616511116,24.11162848440836,1.658179945806264,0.703376817441054,0.9669,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,1,0.14386492458683398,-0.29145537951939704,0.08653446705642975,1.8087775799846915,0.10417273362171181,0.9348647219430848,0.04866917048020791,0.04855117588739266,0.9956,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,2,0.3674638562510644,4.504618584229579,4.61138013223884,15.697134681596916,13.012582794532374,11.04901767212135,0.10063612633202723,0.10012410021083618,1.0,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,3,0.5662474970893001,10.9552061160827,6.03260837154974,1.5370080509775335,14.000229537251478,1.8761480994084674,0.021272570524463408,0.020309290695121218,1.0,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,4,0.27573846487106546,22.818064642311743,53.75944790791996,1.0067295213150371,30.174777444814023,2.166960566894499,0.3685614019566019,0.1495996783308957,0.8982,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,5,0.05768979391167812,23.17053369107086,0.4434450828171557,1.2785256998435033,23.92349845442368,0.8659776097338975,0.17465691408916983,0.15279079422318953,0.8177,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,6,0.06317938612828297,23.41622678070601,140.39467230501992,1.5030210670645452,37.94262172845778,3.4314105747802595,1.1598969085213091,0.5861304101695151,0.5827,10000,12345
COMPLEX,widest_full_range,-133.184,481.152,7,0.06964164263777371,-0.1857617050794017,2089.7096380994535,7.1326930858740765,121.90132805938501,24.185020037576912,1.2710459510161733,0.608872152892328,0.9832,10000,12345
